group,feature,variable,feature_family,window_h,risk_direction,n,fire_mean,control_mean,mean_delta,median_delta,sd_delta,mean_delta_ci_low_t,mean_delta_ci_high_t,date_boot_ci_low,date_boot_ci_high,cell_boot_ci_low,cell_boot_ci_high,cohen_dz,direction_match_pct,paired_t_p,wilcoxon_p,date_n,cell_n,support_flag,paired_t_q,wilcoxon_q,date_ci_excludes_zero,cell_ci_excludes_zero,candidate_priority,abs_cohen_dz
전체,rain_sum_3h,rain_sum,hourly_window,3.0,lower,1150,0.07172173913043477,0.20020347826086957,-0.12848173913043479,0.0,0.9921997281575483,-0.18588756855969318,-0.07107590970117639,-0.20227832264453777,-0.06246833866464018,-0.1864129557970854,-0.06483275699629999,-0.12949181045334207,34.95652173913044,1.2307287031308441e-05,3.0574208464809278e-40,282,87,ok,2.494276838345177e-05,5.809099608313763e-39,True,True,descriptive_only,0.12949181045334207
전체,rain_sum_24h,rain_sum,hourly_window,24.0,lower,1149,0.6925500435161008,1.8478420365535249,-1.1552919930374237,-0.1,9.430407818445639,-1.7011462121784582,-0.6094377738963892,-1.760702868730447,-0.4382736698185671,-1.6203684810819878,-0.5040418660988497,-0.12250710841769767,66.84073107049609,3.530379781296161e-05,3.744281297536897e-77,281,87,ok,7.060759562592321e-05,5.691307572256084e-75,True,True,strong_window_candidate,0.12250710841769767
전체,wind_mean_24h,wind_mean,hourly_window,24.0,higher,1149,2.080299535828256,1.9696767660284304,0.11062276979982592,-0.02741666666666666,0.9927497311923407,0.05316007680127597,0.16808546279837588,-0.042065354593006136,0.2444043035297693,0.0344109350091174,0.2017629718383762,0.11143067212615873,48.65100087032202,0.00016676341136683556,0.14813381441402523,281,87,ok,0.0003091224210702318,0.17590890461665495,False,True,descriptive_only,0.11143067212615873
전체,wind_mean_12h,wind_mean,hourly_window,12.0,higher,1150,1.928342028985507,1.8155779227053142,0.11276410628019325,-0.05233333333333334,1.0650991662691804,0.0511405245265151,0.1743876880338714,-0.04390896203987788,0.28616545229195806,0.022811066523584934,0.20055303891638013,0.10587193178939602,46.608695652173914,0.00034424579815114107,0.3095428516211234,282,87,ok,0.0006229209680830172,0.3485223218252648,False,True,descriptive_only,0.10587193178939602
전체,rain_sum_1h,rain_sum,hourly_window,1.0,lower,1150,0.021591304347826086,0.06062086956521739,-0.0390295652173913,0.0,0.3708518350316916,-0.06048598833583862,-0.017573142098943985,-0.061136159655555654,-0.01682997501527666,-0.05829873689990288,-0.013942968966472716,-0.10524301494707713,27.304347826086957,0.0003731797602433934,2.3253776330084112e-34,282,87,ok,0.0006673332183175977,2.9454783351439877e-33,True,True,descriptive_only,0.10524301494707713
전체,wind_mean_6h,wind_mean,hourly_window,6.0,higher,1150,2.125640579710145,2.0091376328502415,0.1165029468599034,-0.05966666666666692,1.184085111644,0.04799517970400817,0.1850107140157986,-0.04144552553130402,0.286809591275462,0.007498020809410395,0.22018797255722472,0.09839068637401335,47.21739130434783,0.0008752623151439449,0.1916541070297264,282,87,ok,0.001494830021369434,0.2240878789886032,False,True,descriptive_only,0.09839068637401335
전체,wind_max_6h,wind_max,hourly_window,6.0,higher,1150,3.0068869565217393,2.8643785507246378,0.14250840579710145,0.012999999999999998,1.4945531708901503,0.05603784753521292,0.22897896405899,-0.06622264238822702,0.3370081905350912,0.01374630671506353,0.27633703779274593,0.0953518473432591,50.60869565217392,0.0012574539410534706,0.046961455121153094,282,87,ok,0.0021236999893347506,0.058992902300952645,False,True,descriptive_only,0.0953518473432591
전체,wind_max_3h,wind_max,hourly_window,3.0,higher,1150,2.772669565217391,2.6353646376811595,0.13730492753623186,-0.026999999999999913,1.471701348989598,0.052156510122544186,0.22245334494991953,-0.0317904650333494,0.33149309089335605,0.021213501478863077,0.26318077788335414,0.09329673281233251,48.78260869565217,0.0015978365863198892,0.14595668235284093,282,87,ok,0.0026689138584683864,0.17590890461665495,False,True,descriptive_only,0.09329673281233251
전체,wind_mean_3h,wind_mean,hourly_window,3.0,higher,1150,2.273052173913044,2.1593285024154594,0.11372367149758456,-0.060999999999999985,1.2757189301827485,0.03991423451886536,0.18753310847630375,-0.027670293114705053,0.2636905688008179,-0.0006306947031919309,0.23588014519657566,0.08914477069121604,47.30434782608695,0.0025579138997189267,0.26940346881179567,282,87,ok,0.004136201199545498,0.3102221762075223,False,False,descriptive_only,0.08914477069121604
전체,wind_mean_48h,wind_mean,hourly_window,48.0,higher,1149,2.05601501305483,1.9838307012136156,0.07218431184121457,-0.02475000000000005,0.8259463136622646,0.024376593577462774,0.11999203010496637,-0.04669618930934055,0.20872297886907248,0.004060687624666721,0.143259894516436,0.08739588838546625,48.825065274151434,0.0031148732333232897,0.24316955665976303,281,87,ok,0.004931882619428543,0.28215093597163343,False,True,descriptive_only,0.08739588838546625
전체,wind_mean_72h,wind_mean,hourly_window,72.0,higher,1145,2.0447288937409027,1.990044646611677,0.05468424712922529,-0.016472222222221777,0.7117915776464824,0.013412018964302122,0.09595647529414846,-0.03860986856662784,0.14315151514186883,-0.007371660761248076,0.11797069528213121,0.07682620706195642,48.29694323144105,0.009452500129523169,0.3717769927753284,280,87,ok,0.013683619235119255,0.4094934992887675,False,False,descriptive_only,0.07682620706195642
전체,wind_max_12h,wind_max,hourly_window,12.0,higher,1150,3.253513043478261,3.145014202898551,0.10849884057971013,0.0040000000000000036,1.5309935490453443,0.01991994659332058,0.19707773456609967,-0.06437281933526853,0.3032082214558064,-0.008299745319711116,0.2310059148778781,0.07086825457061194,50.26086956521739,0.016407367887546934,0.32943162479330723,282,87,ok,0.023527546404784282,0.3655007807925745,False,False,descriptive_only,0.07086825457061194
전체,wind_max_24h,wind_max,hourly_window,24.0,higher,1149,4.117554395126197,4.006355091383812,0.11119930374238471,0.03799999999999937,1.5939177320581492,0.018939590720657234,0.20345901676411218,-0.09596121488815511,0.2763864111680253,-0.01573482887704714,0.22743622150712212,0.06976476985345938,51.00087032201914,0.018204946134315638,0.10076254157793965,281,87,ok,0.025861231891738102,0.12351537354715182,False,False,descriptive_only,0.06976476985345938
전체,wind_max_1h,wind_max,hourly_window,1.0,higher,1150,2.352095652173913,2.2630849275362315,0.08901072463768117,-0.056000000000000036,1.4055842801247989,0.00768765112391899,0.17033379815144334,-0.07515967630853995,0.2527439541158567,-0.03868840318682478,0.2113821666992899,0.06332649411088896,47.130434782608695,0.03196171412861957,0.7131511467221225,282,87,ok,0.04227185625433377,0.7424587280942645,False,False,descriptive_only,0.06332649411088896
전체,wind_mean_1h,wind_mean,hourly_window,1.0,higher,1150,2.352095652173913,2.2630849275362315,0.08901072463768117,-0.056000000000000036,1.4055842801247989,0.00768765112391899,0.17033379815144334,-0.08957739400565914,0.2660576746936607,-0.030550879912373846,0.20825577312098345,0.06332649411088896,47.130434782608695,0.03196171412861957,0.7131511467221225,282,87,ok,0.04227185625433377,0.7424587280942645,False,False,descriptive_only,0.06332649411088896
전체,wind_max_72h,wind_max,hourly_window,72.0,higher,1145,4.988558951965065,4.90137903930131,0.08717991266375547,0.002000000000000224,1.4936157822501037,0.0005747134851091795,0.17378511184240175,-0.06714210167202651,0.235112074066151,-0.05387322511823203,0.23164058861816497,0.058368366014732775,50.043668122270745,0.04850145301709354,0.17432563013248703,280,87,ok,0.06301043468887367,0.20540694403207774,False,False,descriptive_only,0.058368366014732775
전체,wind_max_48h,wind_max,hourly_window,48.0,higher,1149,4.613803307223673,4.554136930664345,0.05966637655932701,-0.05600000000000005,1.5635840965283232,-0.03083755418292626,0.15017030730158026,-0.11897777402744808,0.23275694359987834,-0.06903115983909093,0.20513443144370747,0.038160004755616414,48.56396866840731,0.19609632523962095,0.446558769228414,281,87,ok,0.2443167330854294,0.484835235162278,False,False,descriptive_only,0.038160004755616414
