fire_exposure_id,기상셀ID,기준시각,기후지형유형,date,month,hour,matched_control_n,full_5_matched,is_ys0071,is_less_than_5_matched,is_2021_feb_cluster,control_row_n,fire_value,control_mean,feature,variable,window_h,risk_direction,feature_family,delta,risk_direction_match
FE_00083,YD_0003,2020-10-19 10:00:00,영동 해안형,2020-10-19,10,10,5,True,False,False,False,5,56.86,59.712,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-2.852000000000004,True
FE_00084,YD_0003,2020-10-19 13:00:00,영동 해안형,2020-10-19,10,13,5,True,False,False,False,5,45.59,52.888,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-7.297999999999995,True
FE_00085,YD_0003,2020-10-19 14:00:00,영동 해안형,2020-10-19,10,14,5,True,False,False,False,5,49.91,46.322,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,3.587999999999994,False
FE_00086,YD_0003,2020-10-30 18:00:00,영동 해안형,2020-10-30,10,18,5,True,False,False,False,5,65.3,54.705999999999996,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,10.594000000000001,False
FE_00087,YD_0003,2020-11-02 08:00:00,영동 해안형,2020-11-02,11,8,5,True,False,False,False,5,45.31,56.378,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-11.067999999999998,True
FE_00088,YD_0003,2020-12-15 10:00:00,영동 해안형,2020-12-15,12,10,5,True,False,False,False,5,17.62,41.233999999999995,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-23.613999999999994,True
FE_00089,YD_0003,2021-01-17 15:00:00,영동 해안형,2021-01-17,1,15,5,True,False,False,False,5,14.27,38.524,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-24.254,True
FE_00090,YD_0003,2021-01-29 12:00:00,영동 해안형,2021-01-29,1,12,5,True,False,False,False,5,16.28,26.432,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-10.151999999999997,True
FE_00091,YD_0003,2021-02-02 13:00:00,영동 해안형,2021-02-02,2,13,5,True,False,False,True,5,14.06,49.0,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-34.94,True
FE_00092,YD_0003,2021-02-03 10:00:00,영동 해안형,2021-02-03,2,10,5,True,False,False,True,5,21.99,56.412,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-34.422,True
FE_00093,YD_0003,2021-02-03 11:00:00,영동 해안형,2021-02-03,2,11,5,True,False,False,True,5,18.23,49.188,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-30.958000000000002,True
FE_00094,YD_0003,2021-02-09 10:00:00,영동 해안형,2021-02-09,2,10,5,True,False,False,True,5,28.81,56.162,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-27.352,True
FE_00095,YD_0003,2021-02-13 12:00:00,영동 해안형,2021-02-13,2,12,5,True,False,False,True,5,61.7,50.192,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,11.508000000000003,False
FE_00096,YD_0003,2021-02-17 17:00:00,영동 해안형,2021-02-17,2,17,5,True,False,False,True,5,22.91,48.192,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-25.282,True
FE_00097,YD_0003,2021-02-27 10:00:00,영동 해안형,2021-02-27,2,10,5,True,False,False,True,5,74.0,55.884,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,18.116,False
FE_00098,YD_0003,2021-04-01 16:00:00,영동 해안형,2021-04-01,4,16,5,True,False,False,False,5,60.77,53.854,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,6.916000000000004,False
FE_00099,YD_0004,2020-01-30 14:00:00,영동 해안형,2020-01-30,1,14,5,True,False,False,False,5,94.35,52.424,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,41.925999999999995,False
FE_00100,YD_0004,2020-05-01 23:00:00,영동 해안형,2020-05-01,5,23,5,True,False,False,False,5,32.66,78.918,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-46.25800000000001,True
FE_00101,YD_0004,2020-10-25 15:00:00,영동 해안형,2020-10-25,10,15,5,True,False,False,False,5,19.01,50.346,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-31.335999999999995,True
FE_00102,YD_0004,2020-10-27 06:00:00,영동 해안형,2020-10-27,10,6,5,True,False,False,False,5,72.86,74.726,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-1.8659999999999997,True
FE_00103,YD_0004,2020-11-08 18:00:00,영동 해안형,2020-11-08,11,18,5,True,False,False,False,5,6.63,42.368,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,-35.738,True
FE_00104,YD_0004,2020-11-23 10:00:00,영동 해안형,2020-11-23,11,10,5,True,False,False,False,5,47.24,47.11,humidity_mean_1h,humidity_mean,1.0,lower,hourly_window,0.13000000000000256,False
