group,condition,n,fire_condition_rate,control_condition_rate,matched_risk_diff,date_boot_ci_low,date_boot_ci_high,matched_prevalence_ratio,matched_or_approx,paired_t_p,date_n,cell_n,support_flag,paired_t_q
영서 내륙형,dry_spell_1p0_gt_72h,615,0.8260162601626017,0.750569105691057,0.07544715447154471,-0.013357128378676118,0.16416168598305697,1.1005199305419848,1.5753793349873928,5.211613582285815e-05,208,41,ok,0.00011167743390612461
전체,dry_spell_1p0_gt_120h,1150,0.7156521739130435,0.6677101449275362,0.04794202898550724,-0.03285039797886501,0.13128679845323318,1.0718006597292447,1.252179485184031,0.001301497139500378,282,87,ok,0.002366358435455233
고지·산간형,dry_spell_1p0_gt_120h,181,0.6408839779005525,0.6950276243093922,-0.05414364640883979,-0.2012209302325581,0.09460645229087845,0.9220985692694766,0.7843979861350354,0.17996139452656199,101,25,ok,0.2117192876783082
영동 해안형,dry_spell_1p0_gt_120h,354,0.7796610169491526,0.6832391713747646,0.09642184557438795,0.03525989005595367,0.14883416564333465,1.1411245863425106,1.636890114905475,3.507781859505617e-05,165,21,ok,7.79507079890137e-05
영서 내륙형,dry_spell_1p0_gt_120h,615,0.7008130081300813,0.6507317073170732,0.05008130081300813,-0.0780450958233929,0.1494858090428811,1.0769615191221105,1.2566348997655188,0.01881116586060071,208,41,ok,0.03135194310100118
전체,dry_spell_1p0_gt_240h,1150,0.5356521739130434,0.5130144927536232,0.022637681159420293,-0.05562800597946184,0.10188734706934592,1.0441267867380994,1.094942793896114,0.12273060148473428,282,87,ok,0.14727672178168114
고지·산간형,dry_spell_1p0_gt_240h,181,0.47513812154696133,0.5342541436464088,-0.05911602209944752,-0.19299209625453081,0.07407857142857142,0.8893485007241773,0.7902096395406459,0.1158974278839731,101,25,ok,0.14191521781710992
영동 해안형,dry_spell_1p0_gt_240h,354,0.6129943502824858,0.5679849340866291,0.04500941619585688,-0.04384439156401642,0.13061198972027277,1.0792440316907206,1.2040861734594157,0.07499654314128014,165,21,ok,0.1022680133744729
영서 내륙형,dry_spell_1p0_gt_240h,615,0.5089430894308943,0.4751219512195122,0.03382113821138211,-0.0642099525346053,0.12346403133903132,1.0711841203156116,1.144709134391403,0.09809401179028221,208,41,ok,0.1252263980301475
전체,dry_spell_5p0_gt_24h,1150,0.9939130434782608,0.9725217391304347,0.02139130434782608,0.014214981985367253,0.02887393827956693,1.0219957081318893,4.3740995620698655,5.141878802611377e-11,282,87,ok,3.8564091019585325e-10
고지·산간형,dry_spell_5p0_gt_24h,181,0.994475138121547,0.9734806629834254,0.020994475138121544,0.004911167512690352,0.0394370275841759,1.021566401793964,3.6093189964157797,0.008690548056298639,101,25,ok,0.014898082382226237
영동 해안형,dry_spell_5p0_gt_24h,354,0.9915254237288136,0.9853107344632769,0.00621468926553672,-0.005041208791208793,0.017044789512699457,1.0063073394431399,1.6388286777636896,0.27904679338268457,165,21,ok,0.3044146836902013
영서 내륙형,dry_spell_5p0_gt_24h,615,0.9951219512195122,0.9648780487804878,0.030243902439024382,0.020430440427444317,0.04033805927614705,1.0313447926874333,6.512039063815459,2.5426090152607848e-11,208,41,ok,2.1793791559378156e-10
전체,dry_spell_5p0_gt_48h,1150,0.9860869565217392,0.9523478260869566,0.033739130434782605,0.021100708502024286,0.047299737949581665,1.035427319173903,3.4701961662808665,2.8977892676064706e-13,282,87,ok,3.4773471211277647e-12
고지·산간형,dry_spell_5p0_gt_48h,181,0.9723756906077348,0.9535911602209945,0.018784530386740328,-0.01617480383609416,0.05157927590511859,1.0196987253559358,1.6499658631374357,0.2072564458373927,101,25,ok,0.23914205288929924
영동 해안형,dry_spell_5p0_gt_48h,354,0.9858757062146892,0.9740112994350281,0.011864406779661012,-0.0022357774181501356,0.025006083734306725,1.0121809744654524,1.7850880657136166,0.0895806125277068,165,21,ok,0.11819852582542519
영서 내륙형,dry_spell_5p0_gt_48h,615,0.9902439024390244,0.9395121951219512,0.05073170731707317,0.03501262409398509,0.06826899293286218,1.0539979230993273,6.112917171018505,4.521246524882688e-16,208,41,ok,1.3563739574648065e-14
전체,dry_spell_5p0_gt_72h,1150,0.971304347826087,0.9325217391304349,0.03878260869565217,0.02070833292552826,0.05817506861063464,1.04158895929893,2.4282562395404823,2.067321626694723e-10,282,87,ok,1.1276299781971217e-09
고지·산간형,dry_spell_5p0_gt_72h,181,0.9558011049723757,0.9359116022099446,0.019889502762430938,-0.02593596886636616,0.061738596491228044,1.0212514757742237,1.4536924834677867,0.2727299246563254,101,25,ok,0.3030332496181393
영동 해안형,dry_spell_5p0_gt_72h,354,0.9745762711864406,0.9587570621468926,0.015819209039548015,-0.007370822203766475,0.0378196664046808,1.0164997053451947,1.6156609529118469,0.1048938906162901,165,21,ok,0.13111736327036264
영서 내륙형,dry_spell_5p0_gt_72h,615,0.9739837398373984,0.9164227642276421,0.057560975609756086,0.03418841521020311,0.08395620508951149,1.0628105038349391,3.342847012940976,5.758677096202913e-12,208,41,ok,5.7586770962029135e-11
전체,dry_spell_5p0_gt_120h,1150,0.9452173913043478,0.8977391304347827,0.04747826086956521,0.0218193844656651,0.07434582722385141,1.052886478050349,1.9581554266216252,3.764693458000034e-09,282,87,ok,1.882346729000017e-08
고지·산간형,dry_spell_5p0_gt_120h,181,0.9502762430939227,0.9060773480662984,0.04419889502762431,-0.004851069982648931,0.09583478260869563,1.048780487751041,1.9316909294512878,0.03212484286669313,101,25,ok,0.049422835179527884
영동 해안형,dry_spell_5p0_gt_120h,354,0.9548022598870056,0.927683615819209,0.027118644067796602,0.0005729205152836217,0.05416091954022988,1.0292326430866372,1.6279886121783356,0.024378709164289088,165,21,ok,0.03953304188803636
영서 내륙형,dry_spell_5p0_gt_120h,615,0.9382113821138212,0.8780487804878049,0.06016260162601626,0.020529196851577964,0.10112775586569576,1.0685185184404835,2.095282146160963,4.5161184567018197e-07,208,41,ok,1.2903195590576627e-06
전체,dry_spell_5p0_gt_240h,1150,0.8843478260869565,0.8168695652173913,0.06747826086956521,0.03119370551170943,0.10545780219156677,1.0826059185703674,1.7118264633300295,2.0542939451702728e-10,282,87,ok,1.1276299781971217e-09
고지·산간형,dry_spell_5p0_gt_240h,181,0.9005524861878453,0.8353591160220993,0.06519337016574586,0.016232558139534885,0.12250327997900809,1.0780423279489046,1.765237221400704,0.00656875913927537,101,25,ok,0.011591927892838888
영동 해안형,dry_spell_5p0_gt_240h,354,0.9152542372881356,0.8508474576271188,0.06440677966101695,0.030765988881417565,0.10886332259549004,1.0756972110664116,1.8796057314561723,9.86658650446567e-05,165,21,ok,0.0002041362725061863
영서 내륙형,dry_spell_5p0_gt_240h,615,0.8617886178861789,0.791869918699187,0.06991869918699187,0.014539957509396961,0.12238417032669789,1.0882956877735075,1.635489578647474,1.1650403492459019e-05,208,41,ok,2.9126008731147548e-05
