group,condition,n,fire_condition_rate,control_condition_rate,matched_risk_diff,date_boot_ci_low,date_boot_ci_high,matched_prevalence_ratio,matched_or_approx,paired_t_p,date_n,cell_n,support_flag,paired_t_q
고지·산간형,vpd_local_q90,181,0.17679558011049723,0.14806629834254142,0.0287292817679558,-0.04215508365508366,0.12057130696699843,1.1940298494358432,1.2318840579710146,0.4048401581583917,101,25,ok,0.47358660010981674
고지·산간형,vpd_local_q95,181,0.0718232044198895,0.06850828729281767,0.003314917127071825,-0.043076923076923075,0.05742043926490347,1.048387096067898,1.0502380788075358,0.8792890516240544,101,25,ok,0.8937036262408421
영동 해안형,rh_le_20,354,0.07062146892655367,0.025423728813559324,0.04519774011299435,0.0012098342014525702,0.1008294997452723,2.7777777078518544,2.8145515533903036,0.00064114022332386,165,21,ok,0.002484418365379957
영동 해안형,rh_le_30,354,0.211864406779661,0.14896421845574387,0.06290018832391714,-0.028385752688172037,0.16071581985827235,1.4222503132210504,1.5312734185183985,0.005317491132029045,165,21,ok,0.012210535192066697
영동 해안형,rh_le_40,354,0.3672316384180791,0.3167608286252354,0.05047080979284369,-0.04718373680943513,0.14174854892205635,1.1593341255374172,1.2508352716997622,0.054217105641557975,165,21,ok,0.09085028512909715
영동 해안형,ah_le_2,354,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,165,21,ok,
영동 해안형,ah_le_3,354,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,165,21,ok,
영동 해안형,ah_le_4,354,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,165,21,ok,
영동 해안형,vpd_ge_0p5,354,0.5169491525423728,0.46704331450094155,0.049905838041431255,-0.014772856939095712,0.11635100810791418,1.1068548384808874,1.220519507156775,0.03715188916756323,165,21,ok,0.06581191795396914
영동 해안형,vpd_ge_1p0,354,0.096045197740113,0.11016949152542373,-0.014124293785310734,-0.059028097650852145,0.02397213399879006,0.8717948729585799,0.8597918600288315,0.39878777711768754,165,21,ok,0.47358660010981674
영동 해안형,vpd_ge_1p5,354,0.03954802259887006,0.03446327683615819,0.005084745762711864,-0.019701729745712594,0.03693070474194393,1.1475409793254503,1.147767872628256,0.6496482135811079,165,21,ok,0.694451538655667
영동 해안형,rh_local_q05,354,0.14124293785310735,0.05875706214689265,0.0824858757062147,0.007509257989301878,0.16890909090909084,2.403846129953773,2.598248494800219,4.77496240270069e-05,165,21,ok,0.0002467063908062023
영동 해안형,rh_local_q10,354,0.2062146892655367,0.12937853107344632,0.0768361581920904,-0.014883664448438326,0.18842871171619532,1.5938864582917946,1.7408629334520027,0.0011694605301024402,165,21,ok,0.004028141825908406
영동 해안형,rh_local_q20,354,0.3163841807909605,0.23465160075329566,0.08173258003766479,-0.02794463394422924,0.18442012548262546,1.3483146052571828,1.5068529766139347,0.003022797366013557,165,21,ok,0.008140575423033656
영동 해안형,ah_local_q05,354,0.1384180790960452,0.05649717514124294,0.08192090395480225,0.008091940141769496,0.16871425502281753,2.4499999743350007,2.6438465530318145,4.2388338017497654e-05,165,21,ok,0.00023891608700771404
