analysis_id,fire_exposure_id,control_rank,sample_group,target,기상셀ID,기준시각,기후지형유형,month,hour,date,temp,rh,ah,vpd,rh_z,rh_pct,ah_z,ah_pct,vpd_z,vpd_pct
FE_00582_C05,FE_00582,5.0,matched_control,0,YS_0010,2021-05-31 13:00:00,영서 내륙형,5,13,2021-05-31,21.57,64.09,1.213595873702477,0.9248044735546599,0.4679009705937364,0.7419354838709677,1.1036360100661766,0.8548387096774194,-0.46779124612153833,0.3387096774193548
FE_00583_C01,FE_00583,1.0,matched_control,0,YS_0011,2020-03-02 05:00:00,고지·산간형,3,5,2020-03-02,-0.11,71.53,0.34397535005810975,0.17250191765046236,-0.5737317451987181,0.2903225806451613,-0.6773085444839073,0.24193548387096775,0.12017767406312092,0.6774193548387096
FE_00583_C02,FE_00583,2.0,matched_control,0,YS_0011,2020-03-18 05:00:00,고지·산간형,3,5,2020-03-18,-0.19,80.84,0.3865991835927212,0.11541711932532989,0.2879481599963088,0.5483870967741935,-0.37742803969497757,0.41935483870967744,-0.45212695953240883,0.3870967741935484
FE_00583_C03,FE_00583,3.0,matched_control,0,YS_0011,2020-03-19 05:00:00,고지·산간형,3,5,2020-03-19,9.58,55.13,0.504431511701088,0.535652662476163,-2.0916211592909235,0.03225806451612903,0.45158275317278623,0.7419354838709677,3.7609517514923256,1.0
FE_00583_C04,FE_00583,4.0,matched_control,0,YS_0011,2020-03-21 05:00:00,고지·산간형,3,5,2020-03-21,5.6,52.48,0.37105599935637645,0.4321932981236735,-2.3368898755924086,0.016129032258064516,-0.4867823034553569,0.3387096774193548,2.7237181035684137,0.9838709677419355
FE_00583_C05,FE_00583,5.0,matched_control,0,YS_0011,2020-03-31 05:00:00,고지·산간형,3,5,2020-03-31,0.61,79.1,0.39974298617743265,0.133432534671318,0.12690379533042756,0.532258064516129,-0.28495465503921535,0.5161290322580645,-0.27151310118200217,0.5
FE_00584_C01,FE_00584,1.0,matched_control,0,YS_0012,2020-06-04 11:00:00,영서 내륙형,6,11,2020-06-04,25.79,54.33,1.3074651529305985,1.5161652835600563,-0.21354890756379413,0.5333333333333333,0.1602560989137141,0.55,0.17638378258592605,0.5166666666666667
FE_00584_C02,FE_00584,2.0,matched_control,0,YS_0012,2020-06-08 11:00:00,영서 내륙형,6,11,2020-06-08,27.82,54.24,1.460730794312294,1.711594241987998,-0.22159330310508774,0.5166666666666667,1.089548492686409,0.8666666666666667,0.5411653927313556,0.7
FE_00584_C03,FE_00584,3.0,matched_control,0,YS_0012,2020-06-13 11:00:00,영서 내륙형,6,11,2020-06-13,29.04,34.64,0.9972917582973467,2.624082999041662,-1.9734838876535479,0.016666666666666666,-1.7204118302113451,0.03333333333333333,2.244388501093613,0.9833333333333333
FE_00584_C04,FE_00584,4.0,matched_control,0,YS_0012,2020-06-14 11:00:00,영서 내륙형,6,11,2020-06-14,24.49,68.82,1.539585905000299,0.9580711299911702,1.0815987745845312,0.8333333333333334,1.5676690545543517,0.9666666666666667,-0.8653373911298599,0.23333333333333334
