analysis_id,fire_exposure_id,control_rank,sample_group,target,기상셀ID,기준시각,기후지형유형,month,hour,date,matched_control_n,full_5_matched,is_less_than_5_matched,is_february,is_2021_feb_cluster,is_ys0071,has_exact_hourly_row
FE_00096,FE_00096,,fire,1,YD_0003,2021-02-17 17:00:00,영동 해안형,2,17,2021-02-17,5,True,False,True,True,False,True
FE_00097,FE_00097,,fire,1,YD_0003,2021-02-27 10:00:00,영동 해안형,2,10,2021-02-27,5,True,False,True,True,False,True
FE_00098,FE_00098,,fire,1,YD_0003,2021-04-01 16:00:00,영동 해안형,4,16,2021-04-01,5,True,False,False,False,False,True
FE_00099,FE_00099,,fire,1,YD_0004,2020-01-30 14:00:00,영동 해안형,1,14,2020-01-30,5,True,False,False,False,False,True
FE_00100,FE_00100,,fire,1,YD_0004,2020-05-01 23:00:00,영동 해안형,5,23,2020-05-01,5,True,False,False,False,False,True
FE_00101,FE_00101,,fire,1,YD_0004,2020-10-25 15:00:00,영동 해안형,10,15,2020-10-25,5,True,False,False,False,False,True
FE_00102,FE_00102,,fire,1,YD_0004,2020-10-27 06:00:00,영동 해안형,10,6,2020-10-27,5,True,False,False,False,False,True
FE_00103,FE_00103,,fire,1,YD_0004,2020-11-08 18:00:00,영동 해안형,11,18,2020-11-08,5,True,False,False,False,False,True
FE_00104,FE_00104,,fire,1,YD_0004,2020-11-23 10:00:00,영동 해안형,11,10,2020-11-23,5,True,False,False,False,False,True
FE_00105,FE_00105,,fire,1,YD_0004,2021-01-25 16:00:00,영동 해안형,1,16,2021-01-25,5,True,False,False,False,False,True
FE_00106,FE_00106,,fire,1,YD_0004,2021-01-26 09:00:00,영동 해안형,1,9,2021-01-26,5,True,False,False,False,False,True
FE_00107,FE_00107,,fire,1,YD_0004,2021-02-01 13:00:00,영동 해안형,2,13,2021-02-01,5,True,False,True,True,False,True
FE_00108,FE_00108,,fire,1,YD_0004,2021-02-06 08:00:00,영동 해안형,2,8,2021-02-06,5,True,False,True,True,False,True
FE_00109,FE_00109,,fire,1,YD_0004,2021-02-07 08:00:00,영동 해안형,2,8,2021-02-07,5,True,False,True,True,False,True
FE_00110,FE_00110,,fire,1,YD_0004,2021-03-26 08:00:00,영동 해안형,3,8,2021-03-26,5,True,False,False,False,False,True
FE_00111,FE_00111,,fire,1,YD_0004,2021-04-09 05:00:00,영동 해안형,4,5,2021-04-09,5,True,False,False,False,False,True
FE_00112,FE_00112,,fire,1,YD_0005,2020-02-03 09:00:00,영동 해안형,2,9,2020-02-03,5,True,False,True,False,False,True
FE_00113,FE_00113,,fire,1,YD_0005,2020-02-12 07:00:00,영동 해안형,2,7,2020-02-12,5,True,False,True,False,False,True
FE_00114,FE_00114,,fire,1,YD_0005,2020-03-28 19:00:00,영동 해안형,3,19,2020-03-28,5,True,False,False,False,False,True
FE_00115,FE_00115,,fire,1,YD_0005,2020-04-10 12:00:00,영동 해안형,4,12,2020-04-10,5,True,False,False,False,False,True
FE_00116,FE_00116,,fire,1,YD_0005,2020-11-18 13:00:00,영동 해안형,11,13,2020-11-18,5,True,False,False,False,False,True
FE_00117,FE_00117,,fire,1,YD_0005,2020-12-06 22:00:00,영동 해안형,12,22,2020-12-06,5,True,False,False,False,False,True
FE_00118,FE_00118,,fire,1,YD_0005,2020-12-15 14:00:00,영동 해안형,12,14,2020-12-15,5,True,False,False,False,False,True
FE_00119,FE_00119,,fire,1,YD_0005,2021-01-25 21:00:00,영동 해안형,1,21,2021-01-25,5,True,False,False,False,False,True
FE_00120,FE_00120,,fire,1,YD_0005,2021-01-29 14:00:00,영동 해안형,1,14,2021-01-29,5,True,False,False,False,False,True
FE_00121,FE_00121,,fire,1,YD_0005,2021-01-29 15:00:00,영동 해안형,1,15,2021-01-29,5,True,False,False,False,False,True
FE_00122,FE_00122,,fire,1,YD_0005,2021-01-29 23:00:00,영동 해안형,1,23,2021-01-29,5,True,False,False,False,False,True
FE_00123,FE_00123,,fire,1,YD_0005,2021-01-30 12:00:00,영동 해안형,1,12,2021-01-30,5,True,False,False,False,False,True
