기상셀ID,기후지형유형,FFMC,DMC,DC,ISI,BUI,FWI
YS_0048,고지·산간형,69.70351717700444,9.451971820535222,38.1602161688663,4.620539990642683,11.157490440825933,5.276933563159281
YS_0049,고지·산간형,75.74678442234251,20.704765871396983,83.80866351695065,3.5246786794444502,24.550352687204967,6.467884347509485
YS_0050,영서 내륙형,73.99305022785198,16.823425874548512,77.20728452574316,2.9309919111069633,20.136509054153734,4.9336051802791
YS_0051,영서 내륙형,74.63830589873427,19.35718512248291,70.00478595330571,2.8611146680104738,22.20819906346175,5.185269774916567
YS_0052,영서 내륙형,70.87096144959327,13.033405649336844,79.6266582734748,2.258678753386378,17.264692241799807,3.705400025573908
YS_0053,고지·산간형,70.23336190644834,14.636578947609227,61.194359472818014,2.646124225156773,17.551589369279384,4.326321309274429
YS_0054,영서 내륙형,69.50095660522132,13.752703471064809,59.851341838275886,2.1931171079829115,16.577039804612845,3.5610617007246743
YS_0055,고지·산간형,72.97849523973035,15.249871174800305,81.32387342006041,2.339097037462228,20.017927836921405,4.049837594408404
YS_0056,고지·산간형,70.15269887714273,9.638790364690145,65.08014976150145,2.0861076739005866,13.024846478973695,2.7987881809371555
YS_0057,영서 내륙형,74.95228582406729,14.982587897846303,76.3336834688824,2.196561329007649,18.93645357341281,3.610476220740884
YS_0058,고지·산간형,72.55688227546942,11.618688165322805,75.99207043927346,2.1475104662340496,14.928628342336282,3.061017396580861
YS_0059,고지·산간형,68.44964918908421,8.041932931928853,31.546856689765796,2.4062346474116154,9.474464971479849,2.658652514745648
YS_0060,영서 내륙형,75.27901139666085,17.932555509727027,64.49502810369336,2.952957654112588,20.937483040964572,5.078804505600082
YS_0061,영서 내륙형,73.16918997697842,18.002193612817912,70.74195670767186,2.338637373115685,21.05458103159157,4.220705923693453
YS_0062,영서 내륙형,66.24421215414239,6.77380966396274,69.70511912750123,1.3502863985651958,10.137269551179543,1.489330217009492
YS_0063,영서 내륙형,74.7375468431391,15.538438326737689,63.06746702420825,2.058496583960799,18.717516846079153,3.353981516140755
YS_0064,영서 내륙형,75.05976014493461,20.165127175140785,107.51412588827887,2.952975348914873,26.22919868581549,5.789960143445748
YS_0065,영서 내륙형,76.0180339906442,20.30107017275476,92.05923840073449,3.829882025255141,24.27577622111128,6.999370042491335
YS_0066,고지·산간형,73.68925871767378,16.704864556977377,61.09961167209458,4.014697886668756,19.377914172302923,6.440531017776763
YS_0067,고지·산간형,69.71631698071032,17.156541738538024,61.641743586017895,2.488485356881701,19.958534053672516,4.402566458667477
YS_0068,고지·산간형,73.95592311780825,16.347777121267463,83.09992681232423,3.035535163911009,20.490888235118533,5.173719643974946
YS_0069,영서 내륙형,75.32991592550054,20.03398020817501,92.76419289470151,2.953863172240004,24.342919377946952,5.5714316645499835
YS_0070,영서 내륙형,64.88770851013051,8.161680241052919,46.546932400759054,1.7487397462270429,10.402571728222668,2.13297507073614
YS_0071,영서 내륙형,67.99328460169812,1.7045850401932152,300.0337645584859,0.7403274904958262,2.9679626778931536,0.26800408224383665
