기후지형유형,계절,기상변수,FWI지수,N_셀일,Spearman_rho,p_value,q_FDR_global
영동 해안형,겨울,기온_C,DC,3801,-0.003149611941633466,0.8460840530873873,0.852000724787299
영동 해안형,겨울,기온_C,ISI,3801,-0.08441931671793215,1.8657899278142968e-07,2.107245094943206e-07
영동 해안형,겨울,기온_C,BUI,3801,-3.1827638388846626e-05,0.9984348705422909,0.9984348705422909
영동 해안형,겨울,기온_C,FWI,3801,-0.05018141798933691,0.0019699245500112684,0.002132850640613704
영동 해안형,겨울,습도_pct,FFMC,3801,-0.7284236581338588,0.0,0.0
영동 해안형,겨울,습도_pct,DMC,3801,-0.35376925846870705,1.8318617993569954e-112,3.256643198856881e-112
영동 해안형,겨울,습도_pct,DC,3801,-0.27788654458431167,2.3442376776180083e-68,3.553370795547297e-68
영동 해안형,겨울,습도_pct,ISI,3801,-0.6973789798405073,0.0,0.0
영동 해안형,겨울,습도_pct,BUI,3801,-0.34486776316556594,1.3101758538263883e-106,2.2594649455209566e-106
영동 해안형,겨울,습도_pct,FWI,3801,-0.5985228962684999,0.0,0.0
영동 해안형,겨울,풍속_km_h,FFMC,3801,0.15047935630575016,1.0840072799276232e-20,1.3632929983369236e-20
영동 해안형,겨울,풍속_km_h,DMC,3801,0.08486932046027283,1.6047254460411258e-07,1.8195312144088356e-07
영동 해안형,겨울,풍속_km_h,DC,3801,0.09572580387284503,3.352117974464928e-09,3.9244307993735746e-09
영동 해안형,겨울,풍속_km_h,ISI,3801,0.48016913952105544,1.6469574139839118e-218,4.0540490190373215e-218
영동 해안형,겨울,풍속_km_h,BUI,3801,0.08670152476177698,8.618824696219548e-08,9.928886050044919e-08
영동 해안형,겨울,풍속_km_h,FWI,3801,0.3287112766493856,1.8412045219892695e-96,2.9958582052706757e-96
영동 해안형,겨울,강수량_mm,FFMC,3801,-0.5339971222049965,2.8981318002456125e-279,8.263979786838976e-279
영동 해안형,겨울,강수량_mm,DMC,3801,-0.3029463786380153,1.6469487797357456e-81,2.606160706395026e-81
영동 해안형,겨울,강수량_mm,DC,3801,-0.3029546599507832,1.629711470757738e-81,2.5931320639681132e-81
영동 해안형,겨울,강수량_mm,ISI,3801,-0.4868518408667171,1.790403970246594e-225,4.4837942907045133e-225
영동 해안형,겨울,강수량_mm,BUI,3801,-0.30521144876537476,9.147603920540123e-83,1.4636166272864196e-82
영동 해안형,겨울,강수량_mm,FWI,3801,-0.4608976062493499,2.837107991533167e-199,6.642984565541075e-199
영동 해안형,봄,기온_C,FFMC,3864,0.41293300292931684,5.160783591057692e-159,1.0393745973598707e-158
영동 해안형,봄,기온_C,DMC,3864,0.44407819613073685,1.7853456587993607e-186,3.925034730795541e-186
영동 해안형,봄,기온_C,DC,3864,0.26268405494212727,5.3306346795121e-62,7.913519524224148e-62
영동 해안형,봄,기온_C,ISI,3864,0.38367337411423613,9.652770319742968e-136,1.8169920601869117e-135
영동 해안형,봄,기온_C,BUI,3864,0.4177233671138697,4.73223805185913e-163,9.734889706681638e-163
영동 해안형,봄,기온_C,FWI,3864,0.448375706308686,1.7039308706167917e-190,3.8338444588877814e-190
영동 해안형,봄,습도_pct,FFMC,3864,-0.6473235520483744,0.0,0.0
영동 해안형,봄,습도_pct,DMC,3864,-0.162978479942257,2.0686257477885832e-24,2.6130009445750527e-24
영동 해안형,봄,습도_pct,DC,3864,0.1103594119295107,6.033303574267307e-12,7.300804325163801e-12
영동 해안형,봄,습도_pct,ISI,3864,-0.6629643887156689,0.0,0.0
영동 해안형,봄,습도_pct,BUI,3864,-0.10120282171768419,2.8813006219699416e-10,3.4432140212752827e-10
영동 해안형,봄,습도_pct,FWI,3864,-0.556327772330411,0.0,0.0
영동 해안형,봄,풍속_km_h,FFMC,3864,0.21602781613066743,4.922759923791699e-42,6.783516067234495e-42
영동 해안형,봄,풍속_km_h,DMC,3864,0.0919785903155517,1.0175138188971081e-08,1.1864128738557374e-08
영동 해안형,봄,풍속_km_h,DC,3864,-0.0022352803501941403,0.8895270685504817,0.8926264660018771
영동 해안형,봄,풍속_km_h,ISI,3864,0.4038173746357177,1.6443627758320415e-151,3.288725551664083e-151
영동 해안형,봄,풍속_km_h,BUI,3864,0.06900728646676058,1.7603843089555523e-05,1.965080158834105e-05
영동 해안형,봄,풍속_km_h,FWI,3864,0.3505349100830652,4.1207555038038387e-112,7.280844080340525e-112
영동 해안형,봄,강수량_mm,FFMC,3864,-0.6518326320728046,0.0,0.0
영동 해안형,봄,강수량_mm,DMC,3864,-0.29621831149655486,4.168229883393865e-79,6.559837193537886e-79
영동 해안형,봄,강수량_mm,DC,3864,-0.18509395648644383,4.011279421694242e-31,5.299304924073127e-31
영동 해안형,봄,강수량_mm,ISI,3864,-0.6176661406076724,0.0,0.0
영동 해안형,봄,강수량_mm,BUI,3864,-0.28934308161430866,2.1031539092187122e-75,3.2740990586756164e-75
영동 해안형,봄,강수량_mm,FWI,3864,-0.6050665408154685,0.0,0.0
영동 해안형,여름,기온_C,FFMC,3864,0.3914279227626947,1.1076154861722403e-141,2.155359864983819e-141
