fire_exposure_id,기상셀ID,기준시각,raw_event_n,fire_ids,weather_rows_in_window_before_exclusion,candidate_rows_in_window_after_exclusion
FE_00174,YD_0008,2021-04-01 18:00:00,1,F_010431,97,0
FE_00175,YD_0009,2020-03-21 14:00:00,1,F_010795,97,0
FE_00176,YD_0009,2020-03-21 15:00:00,1,F_007695,97,0
FE_00177,YD_0009,2020-03-21 17:00:00,1,F_007694,97,0
FE_00178,YD_0009,2020-10-25 11:00:00,1,F_011019,97,0
FE_00179,YD_0009,2020-11-30 11:00:00,1,F_011067,97,0
FE_00180,YD_0009,2021-01-28 15:00:00,1,F_008811,97,0
FE_00181,YD_0009,2021-01-29 19:00:00,1,F_008825,97,0
FE_00182,YD_0009,2021-01-29 21:00:00,1,F_008833,97,0
FE_00183,YD_0009,2021-01-30 06:00:00,1,F_008861,97,0
FE_00184,YD_0009,2021-01-30 07:00:00,1,F_008862,97,0
FE_00185,YD_0009,2021-03-11 14:00:00,1,F_010323,97,0
FE_00186,YD_0009,2021-03-19 12:00:00,1,F_010359,97,0
FE_00187,YD_0009,2021-04-25 10:00:00,1,F_010575,97,0
FE_00188,YD_0010,2021-01-27 15:00:00,1,F_008797,97,0
FE_00189,YD_0011,2020-04-04 03:00:00,1,F_007716,97,0
FE_00190,YD_0011,2020-04-15 16:00:00,1,F_010886,97,0
FE_00191,YD_0011,2020-12-10 10:00:00,1,F_008627,97,0
FE_00192,YD_0011,2021-01-01 14:00:00,1,F_011096,97,0
FE_00193,YD_0011,2021-01-08 13:00:00,1,F_008741,97,0
FE_00194,YD_0011,2021-02-01 09:00:00,1,F_008880,97,0
FE_00195,YD_0011,2021-02-01 10:00:00,1,F_008864,97,0
FE_00196,YD_0011,2021-02-01 11:00:00,1,F_009121,97,0
FE_00197,YD_0011,2021-02-06 16:00:00,1,F_010048,97,0
FE_00198,YD_0011,2021-03-14 18:00:00,1,F_010344,97,0
FE_00199,YD_0011,2021-05-06 21:00:00,2,F_010625;F_011255,97,0
FE_00200,YD_0012,2020-12-20 03:00:00,1,F_008716,97,0
FE_00201,YD_0012,2021-01-31 11:00:00,1,F_008863,97,0
FE_00202,YD_0012,2021-02-01 11:00:00,6,F_008913;F_009129;F_009130;F_009132;F_009135;F_009278,97,0
FE_00203,YD_0012,2021-02-01 16:00:00,1,F_009076,97,0
FE_00204,YD_0012,2021-02-03 10:00:00,1,F_009598,97,0
FE_00205,YD_0012,2021-02-12 10:00:00,1,F_010114,97,0
FE_00206,YD_0012,2021-02-17 09:00:00,1,F_010174,97,0
FE_00207,YD_0012,2021-03-21 18:00:00,1,F_010365,97,0
FE_00208,YD_0012,2021-03-25 15:00:00,1,F_010378,97,0
FE_00209,YD_0012,2021-03-26 20:00:00,1,F_011188,97,0
FE_00210,YD_0012,2021-03-26 21:00:00,1,F_010384,97,0
FE_00211,YD_0012,2021-03-30 14:00:00,1,F_010398,97,0
FE_00212,YD_0012,2021-04-02 09:00:00,1,F_010440,97,0
FE_00213,YD_0012,2021-04-03 09:00:00,1,F_010444,97,0
FE_00214,YD_0012,2021-04-11 17:00:00,1,F_010481,97,0
FE_00215,YD_0012,2021-04-12 09:00:00,1,F_011205,97,0
FE_00216,YD_0012,2021-04-17 09:00:00,1,F_010504,97,0
FE_00217,YD_0012,2021-04-18 17:00:00,1,F_010520,97,0
FE_00218,YD_0012,2021-04-29 21:00:00,1,F_011243,97,0
FE_00219,YD_0012,2021-05-06 13:00:00,1,F_010619,97,0
FE_00220,YD_0012,2021-05-08 07:00:00,1,F_010634,97,0
FE_00221,YD_0012,2021-05-15 14:00:00,1,F_010686,97,0
FE_00222,YD_0013,2020-05-08 01:00:00,1,F_010935,97,0
FE_00223,YD_0013,2020-11-01 16:00:00,1,F_008594,97,0
FE_00224,YD_0013,2020-12-21 11:00:00,1,F_011088,97,0
FE_00225,YD_0013,2020-12-26 16:00:00,1,F_008719,97,0
FE_00226,YD_0013,2021-03-22 17:00:00,1,F_010368,97,0
FE_00227,YD_0013,2021-04-13 15:00:00,1,F_010483,97,0
FE_00228,YD_0014,2020-02-08 18:00:00,1,F_010734,97,0
FE_00229,YD_0014,2020-02-19 11:00:00,1,F_010749,97,0
FE_00230,YD_0014,2020-06-08 17:00:00,1,F_007812,97,0
FE_00231,YD_0014,2020-06-12 14:00:00,2,F_007813;F_010962,97,0
FE_00232,YD_0014,2020-09-03 15:00:00,1,F_007818,97,0
FE_00233,YD_0014,2020-11-27 16:00:00,1,F_008616,97,0
FE_00234,YD_0014,2021-01-22 21:00:00,1,F_011109,97,0
FE_00235,YD_0014,2021-01-29 13:00:00,1,F_008837,97,0
FE_00236,YD_0014,2021-01-29 19:00:00,1,F_008840,97,0
FE_00237,YD_0014,2021-01-30 11:00:00,1,F_008858,97,0
FE_00238,YD_0014,2021-02-03 10:00:00,7,F_009605;F_009618;F_009648;F_009729;F_009788;F_009893;F_009908,97,0
FE_00239,YD_0014,2021-02-03 11:00:00,3,F_009560;F_009797;F_009844,97,0
FE_00240,YD_0014,2021-02-03 12:00:00,1,F_009672,97,0
FE_00241,YD_0014,2021-02-04 11:00:00,1,F_009923,97,0
FE_00242,YD_0014,2021-02-16 14:00:00,2,F_010172;F_011122,97,0
FE_00243,YD_0014,2021-02-16 15:00:00,2,F_010166;F_010171,97,0
FE_00244,YD_0014,2021-03-16 08:00:00,1,F_010353,97,0
FE_00245,YD_0014,2021-03-18 15:00:00,1,F_010355,97,0
FE_00246,YD_0014,2021-03-18 18:00:00,1,F_010357,97,0
FE_00247,YD_0014,2021-04-14 12:00:00,1,F_010485,97,0
FE_00248,YD_0014,2021-04-24 11:00:00,1,F_010568,97,0
FE_00249,YD_0015,2020-02-20 13:00:00,1,F_007658,97,0
FE_00250,YD_0015,2020-03-08 18:00:00,1,F_010771,97,0
FE_00251,YD_0015,2020-04-07 17:00:00,1,F_007727,97,0
FE_00252,YD_0015,2020-12-10 10:00:00,1,F_008631,97,0
FE_00253,YD_0015,2021-01-05 12:00:00,1,F_008739,97,0
FE_00254,YD_0015,2021-01-06 16:00:00,1,F_011100,97,0
FE_00255,YD_0015,2021-01-27 10:00:00,1,F_008793,97,0
FE_00256,YD_0015,2021-02-04 11:00:00,1,F_009924,97,0
FE_00257,YD_0015,2021-05-25 14:00:00,1,F_010691,97,0
FE_00258,YD_0016,2020-04-08 09:00:00,1,F_007729,97,0
FE_00259,YD_0016,2020-04-08 14:00:00,4,F_007732;F_007735;F_007736;F_007737,97,0
FE_00260,YD_0016,2020-04-08 15:00:00,1,F_007740,97,0
FE_00261,YD_0016,2020-04-22 13:00:00,1,F_007770,97,0
FE_00262,YD_0016,2020-04-22 14:00:00,1,F_007769,97,0
FE_00263,YD_0016,2021-01-28 13:00:00,1,F_008810,97,0
FE_00264,YD_0016,2021-02-02 14:00:00,1,F_009305,97,0
FE_00265,YD_0016,2021-02-09 19:00:00,1,F_010079,97,0
FE_00266,YD_0016,2021-02-15 10:00:00,1,F_010142,97,0
FE_00267,YD_0016,2021-02-20 13:00:00,1,F_010229,97,0
FE_00268,YD_0016,2021-05-04 09:00:00,1,F_011251,97,0
FE_00269,YD_0017,2020-02-11 20:00:00,1,F_010741,97,0
FE_00270,YD_0017,2020-03-05 06:00:00,1,F_010759,97,0
FE_00271,YD_0017,2020-03-06 13:00:00,1,F_010762,97,0
FE_00272,YD_0017,2020-05-19 04:00:00,1,F_010943,97,0
FE_00273,YD_0017,2020-11-03 17:00:00,1,F_008600,97,0
FE_00274,YD_0017,2020-11-04 08:00:00,1,F_008602,97,0
FE_00275,YD_0017,2020-11-17 17:00:00,1,F_008611,97,0
FE_00276,YD_0017,2020-12-15 10:00:00,1,F_008702,97,0
FE_00277,YD_0017,2020-12-19 11:00:00,1,F_011084,97,0
FE_00278,YD_0017,2021-01-03 12:00:00,1,F_008721,97,0
FE_00279,YD_0017,2021-01-09 07:00:00,1,F_011101,97,0
FE_00280,YD_0017,2021-02-01 10:00:00,1,F_008882,97,0
FE_00281,YD_0017,2021-02-01 11:00:00,1,F_009122,97,0
FE_00282,YD_0017,2021-02-01 16:00:00,1,F_009011,97,0
FE_00283,YD_0017,2021-02-03 10:00:00,3,F_009620;F_009685;F_009704,97,0
FE_00284,YD_0017,2021-02-03 11:00:00,4,F_009558;F_009574;F_009806;F_009821,97,0
FE_00285,YD_0017,2021-02-04 10:00:00,1,F_009934,97,0
FE_00286,YD_0017,2021-02-09 14:00:00,1,F_010077,97,0
FE_00287,YD_0017,2021-02-10 09:00:00,1,F_010089,97,0
FE_00288,YD_0017,2021-02-14 11:00:00,1,F_010131,97,0
FE_00289,YD_0017,2021-03-13 09:00:00,1,F_010338,97,0
FE_00290,YD_0017,2021-03-15 09:00:00,1,F_010351,97,0
FE_00291,YD_0017,2021-04-11 10:00:00,1,F_010480,97,0
FE_00292,YD_0017,2021-04-13 10:00:00,1,F_010484,97,0
FE_00293,YD_0017,2021-05-15 09:00:00,1,F_010689,97,0
FE_00294,YD_0018,2020-02-24 17:00:00,1,F_007663,97,0
FE_00295,YD_0018,2020-10-24 22:00:00,1,F_008451,97,0
FE_00296,YD_0018,2020-10-24 23:00:00,1,F_008450,97,0
FE_00297,YD_0018,2021-02-01 09:00:00,1,F_008879,97,0
FE_00298,YD_0018,2021-02-01 11:00:00,1,F_009079,97,0
FE_00299,YD_0018,2021-02-04 12:00:00,1,F_011113,97,0
FE_00300,YD_0018,2021-02-04 13:00:00,2,F_009925;F_009932,97,0
FE_00301,YD_0018,2021-02-06 09:00:00,1,F_010042,97,0
FE_00302,YD_0018,2021-02-11 09:00:00,1,F_010099,97,0
FE_00303,YD_0018,2021-02-16 09:00:00,1,F_010165,97,0
FE_00304,YD_0018,2021-04-06 17:00:00,1,F_010449,97,0
FE_00305,YD_0018,2021-04-10 09:00:00,1,F_010472,97,0
FE_00306,YD_0018,2021-04-25 17:00:00,1,F_010579,97,0
FE_00307,YD_0019,2020-01-31 18:00:00,1,F_007637,97,0
FE_00308,YD_0019,2020-03-05 11:00:00,1,F_007666,97,0
FE_00309,YD_0019,2020-06-23 18:00:00,1,F_010976,97,0
FE_00310,YD_0019,2020-06-23 19:00:00,1,F_007815,97,0
FE_00311,YD_0019,2020-11-08 02:00:00,1,F_008605,97,0
FE_00312,YD_0019,2020-11-24 16:00:00,1,F_011065,97,0
FE_00313,YD_0019,2020-12-01 09:00:00,1,F_008617,97,0
FE_00314,YD_0019,2021-02-03 08:00:00,1,F_009515,97,0
FE_00315,YD_0019,2021-02-03 10:00:00,16,F_009514;F_009528;F_009529;F_009530;F_009535;F_009539;F_009544;F_009553;F_009557;F_009604;F_009643;F_009647;F_009691;F_009722;F_009865;F_009918,97,0
FE_00316,YD_0019,2021-02-03 11:00:00,18,F_009561;F_009562;F_009563;F_009566;F_009567;F_009571;F_009573;F_009658;F_009810;F_009811;F_009813;F_009814;F_009815;F_009816;F_009820;F_009850;F_009851;F_009899,97,0
FE_00317,YD_0019,2021-02-03 13:00:00,1,F_009823,97,0
FE_00318,YD_0019,2021-05-01 15:00:00,1,F_010609,97,0
FE_00319,YD_0020,2020-01-15 13:00:00,1,F_007624,97,0
FE_00320,YD_0020,2020-04-12 09:00:00,1,F_007752,97,0
FE_00321,YD_0020,2020-10-21 15:00:00,1,F_011015,97,0
FE_00322,YD_0020,2020-10-21 20:00:00,1,F_011016,97,0
FE_00323,YD_0020,2020-11-05 03:00:00,1,F_011040,97,0
FE_00324,YD_0020,2020-12-03 18:00:00,1,F_008620,97,0
FE_00325,YD_0020,2020-12-10 10:00:00,2,F_008639;F_011075,97,0
FE_00326,YD_0020,2020-12-12 10:00:00,1,F_008687,97,0
FE_00327,YD_0020,2020-12-15 10:00:00,1,F_008692,97,0
FE_00328,YD_0020,2020-12-17 18:00:00,1,F_008714,97,0
FE_00329,YD_0020,2020-12-19 13:00:00,1,F_011085,97,0
FE_00330,YD_0020,2020-12-20 14:00:00,1,F_011087,97,0
FE_00331,YD_0020,2020-12-25 12:00:00,1,F_011089,97,0
FE_00332,YD_0020,2021-01-04 16:00:00,1,F_008729,97,0
FE_00333,YD_0020,2021-01-04 17:00:00,1,F_008722,97,0
FE_00334,YD_0020,2021-01-25 09:00:00,2,F_008758;F_008767,97,0
FE_00335,YD_0020,2021-01-25 10:00:00,1,F_008760,97,0
FE_00336,YD_0020,2021-02-01 10:00:00,1,F_009258,97,0
FE_00337,YD_0020,2021-02-01 12:00:00,4,F_008918;F_009027;F_009028;F_009031,97,0
FE_00338,YD_0020,2021-02-01 13:00:00,31,F_008922;F_008924;F_008927;F_008931;F_008933;F_008937;F_008944;F_008948;F_008950;F_008951;F_008954;F_008972;F_008977;F_008983;F_008984;F_008988;F_008991;F_008992;F_008993;F_008996;F_008997;F_009050;F_009051;F_009053;F_009060;F_009084;F_009091;F_009145;F_009161;F_009174;F_009210,97,0
FE_00339,YD_0020,2021-02-01 14:00:00,6,F_009002;F_009066;F_009070;F_009071;F_009073;F_009197,97,0
FE_00340,YD_0020,2021-02-02 11:00:00,1,F_009460,97,0
FE_00341,YD_0020,2021-02-11 18:00:00,1,F_010100,97,0
FE_00342,YD_0020,2021-02-15 11:00:00,1,F_010146,97,0
FE_00343,YD_0020,2021-02-18 22:00:00,2,F_010199;F_011125,97,0
FE_00344,YD_0020,2021-02-18 23:00:00,1,F_010195,97,0
FE_00345,YD_0020,2021-02-19 14:00:00,2,F_010208;F_011126,97,0
FE_00346,YD_0020,2021-02-20 03:00:00,1,F_011128,97,0
FE_00347,YD_0020,2021-03-11 10:00:00,2,F_010327;F_011166,97,0
FE_00348,YD_0020,2021-04-07 08:00:00,1,F_010454,97,0
FE_00349,YD_0020,2021-04-12 14:00:00,1,F_010482,97,0
FE_00350,YD_0020,2021-04-15 10:00:00,1,F_010490,97,0
FE_00351,YD_0020,2021-04-20 09:00:00,1,F_010537,97,0
FE_00352,YD_0020,2021-05-15 13:00:00,1,F_010685,97,0
