fire_exposure_id,FFMC,DMC,DC,ISI,BUI,FWI,FFMC_10일평균,Indexed_FFMC,FFMC_논문식_발생확률,기상셀ID,기준시각,기후지형유형,month,hour,date,season
FE_00598,11.129500927290493,4.8126951689272115,10.110511190495174,3.031301309221064,7.025360261650718,6.155788322615506,6.084529573301609,0.7999999999999998,0.06784917707175064,YS_0013,2020-12-10 13:00:00,고지·산간형,12,13,2020-12-10,겨울(12-2월)
FE_00599,11.94091814969245,0.7144294220928469,-1.3917200000000207,2.6769719628828335,1.0537533258943999,3.9032712410616313,5.848472954128638,0.3999999999999999,0.03392458853587532,YS_0013,2021-01-04 17:00:00,고지·산간형,1,17,2021-01-04,겨울(12-2월)
FE_00600,-12.620119491305573,-1.641216582928907,-0.34319999999999595,-2.001618064376385,-2.4455184812761885,-3.338745458546133,-3.016551359155244,-0.7999999999999998,-0.06784917707175075,YS_0013,2021-01-20 13:00:00,고지·산간형,1,13,2021-01-20,겨울(12-2월)
FE_00601,-6.2111333025954565,-1.903586209134975,3.5351200000000347,-2.4248192390372925,-2.7894023980739515,-4.287478689155046,-11.053090285330896,-1.0,-0.08481147133968836,YS_0013,2021-01-25 10:00:00,고지·산간형,1,10,2021-01-25,겨울(12-2월)
FE_00602,-9.00727162979787,-2.056285032840977,3.391440000000017,-2.4818012807768293,-3.010735201417086,-4.420132758678015,-10.683577932227948,-1.0,-0.08481147133968836,YS_0013,2021-01-25 11:00:00,고지·산간형,1,11,2021-01-25,겨울(12-2월)
FE_00603,-43.04866148221398,-2.450891877336704,-4.2634800000000155,-4.311064087705898,-4.105370771345751,-4.672238375077243,-7.891550514312485,-1.0,-0.09286514329026385,YS_0013,2021-02-02 09:00:00,고지·산간형,2,9,2021-02-02,겨울(12-2월)
FE_00604,-43.794384923470496,-5.290986166536705,-8.448160000000001,-4.288361016855769,-8.525367107064765,-5.609997468300309,-14.445012313075466,-1.6,-0.14643658341093524,YS_0013,2021-02-02 11:00:00,고지·산간형,2,11,2021-02-02,겨울(12-2월)
FE_00605,-10.43269484847174,-6.203842422456706,-9.981680000000011,-3.3304131580810545,-9.982356381852163,-5.900682588002105,-14.918784113307765,-1.6,-0.14643658341093524,YS_0013,2021-02-03 14:00:00,고지·산간형,2,14,2021-02-03,겨울(12-2월)
FE_00606,-10.411631492831475,-4.712786982936704,-7.654239999999987,-3.0113000745315452,-7.61126061044723,-5.122125639503359,-12.326806564751024,-1.4,-0.12947428914299763,YS_0013,2021-02-03 17:00:00,고지·산간형,2,17,2021-02-03,겨울(12-2월)
FE_00607,-0.7185379006959209,-4.58937472461,-7.113999999999976,-2.4655330284241046,-6.805366352194962,-4.399401509885163,-1.523168524781127,0.20000000000000018,0.016962294267937605,YS_0013,2021-02-12 14:00:00,고지·산간형,2,14,2021-02-12,겨울(12-2월)
FE_00608,20.729744321446745,11.206018663467542,-2.8742669210204923,5.424788969519815,10.11316797964863,9.59295103224725,4.58230090975259,0.6000000000000001,0.0535714401206715,YS_0013,2021-03-27 14:00:00,고지·산간형,3,14,2021-03-27,봄(3-5월)
FE_00609,9.350935674764656,-15.157152633792656,-22.115823071038918,5.231809227464675,-15.164176602886275,3.5782168196313755,-1.401021684365901,0.20000000000000018,0.016962294267937605,YS_0013,2021-04-18 13:00:00,고지·산간형,4,13,2021-04-18,봄(3-5월)
FE_00610,-64.10137707441518,-16.182425616413624,-45.212851035583355,-3.095326453377755,-17.511368463670244,-5.03215023204707,-6.926384989344925,-1.0,-0.09286514329026385,YS_0013,2021-05-18 09:00:00,고지·산간형,5,9,2021-05-18,봄(3-5월)
FE_00611,5.915000124284418,2.21765494436962,3.253519999999999,1.1680684511675805,2.3199384029336176,1.17386856172602,10.799210352533663,1.2000000000000002,0.11114653404163677,YS_0014,2020-01-29 12:00:00,영서 내륙형,1,12,2020-01-29,겨울(12-2월)
