월,시간,기후지형유형,번지유형,건수,비율_pct
10,9,영서 내륙형,일반번지,2,0.058806233460746836
10,9,고지·산간형,임야번지(산),1,0.029403116730373418
10,10,영동 해안형,일반번지,38,1.1173184357541899
10,10,영서 내륙형,일반번지,39,1.1467215524845633
10,10,고지·산간형,임야번지(산),60,1.7641870038224052
10,10,고지·산간형,일반번지,35,1.0291090855630698
10,11,영동 해안형,일반번지,17,0.4998529844163481
10,11,영서 내륙형,일반번지,59,1.7347838870920316
10,11,고지·산간형,임야번지(산),11,0.3234342840341076
10,11,고지·산간형,일반번지,12,0.35283740076448106
10,13,영동 해안형,일반번지,6,0.17641870038224053
10,13,영서 내륙형,임야번지(산),3,0.08820935019112026
10,13,영서 내륙형,일반번지,36,1.058512202293443
10,14,영동 해안형,임야번지(산),2,0.058806233460746836
10,14,영동 해안형,일반번지,31,0.911496618641576
10,14,영서 내륙형,임야번지(산),12,0.35283740076448106
10,14,영서 내륙형,일반번지,32,0.9408997353719494
10,14,고지·산간형,임야번지(산),30,0.8820935019112026
10,14,고지·산간형,일반번지,57,1.675977653631285
10,15,영동 해안형,일반번지,37,1.0879153190238164
10,15,영서 내륙형,일반번지,100,2.9403116730373418
10,15,고지·산간형,임야번지(산),13,0.38224051749485444
10,15,고지·산간형,일반번지,35,1.0291090855630698
10,16,영동 해안형,일반번지,6,0.17641870038224053
10,16,영서 내륙형,임야번지(산),1,0.029403116730373418
10,16,영서 내륙형,일반번지,53,1.5583651867097914
10,17,영서 내륙형,일반번지,2,0.058806233460746836
10,18,영동 해안형,일반번지,1,0.029403116730373418
10,18,영서 내륙형,일반번지,3,0.08820935019112026
10,20,영동 해안형,일반번지,1,0.029403116730373418
10,22,영동 해안형,일반번지,2,0.058806233460746836
10,23,영동 해안형,임야번지(산),1,0.029403116730373418
11,2,영동 해안형,일반번지,2,0.058806233460746836
11,3,영동 해안형,임야번지(산),1,0.029403116730373418
11,8,영동 해안형,임야번지(산),1,0.029403116730373418
11,8,영동 해안형,일반번지,1,0.029403116730373418
11,9,영서 내륙형,일반번지,2,0.058806233460746836
11,10,영동 해안형,임야번지(산),1,0.029403116730373418
11,10,영서 내륙형,일반번지,1,0.029403116730373418
11,11,영동 해안형,일반번지,2,0.058806233460746836
11,11,영서 내륙형,임야번지(산),1,0.029403116730373418
11,11,영서 내륙형,일반번지,2,0.058806233460746836
11,12,영서 내륙형,임야번지(산),2,0.058806233460746836
11,12,영서 내륙형,일반번지,2,0.058806233460746836
11,13,영동 해안형,임야번지(산),1,0.029403116730373418
11,13,영서 내륙형,임야번지(산),2,0.058806233460746836
11,14,영동 해안형,일반번지,1,0.029403116730373418
11,14,영서 내륙형,임야번지(산),2,0.058806233460746836
11,15,영동 해안형,일반번지,1,0.029403116730373418
11,15,영서 내륙형,일반번지,1,0.029403116730373418
11,16,영동 해안형,일반번지,3,0.08820935019112026
11,17,영동 해안형,일반번지,2,0.058806233460746836
11,17,영서 내륙형,일반번지,1,0.029403116730373418
11,17,고지·산간형,일반번지,2,0.058806233460746836
11,18,영동 해안형,일반번지,2,0.058806233460746836
11,18,영서 내륙형,일반번지,2,0.058806233460746836
