fire_exposure_id,기상셀ID,기준시각,year,month,hour,date,climate_type,raw_event_n,fire_ids,match_key,base_pool_n,canadian_pool_n,matched_control_n,min_abs_date_diff_days,median_abs_date_diff_days,max_abs_date_diff_days,min_abs_time_diff_hours,median_abs_time_diff_hours,max_abs_time_diff_hours,full_5_matched,match_status
FE_00053,YD_0002,2021-02-27 14:00:00,2021,2,14,2021-02-27,영동 해안형,1,F_010284,YD_0002|2021|2|14,20,20,5,4,11.0,24,96.0,264.0,576.0,True,full_5
FE_00054,YD_0002,2021-03-13 16:00:00,2021,3,16,2021-03-13,영동 해안형,1,F_010340,YD_0002|2021|3|16,22,22,5,4,9.0,16,96.0,216.0,384.0,True,full_5
FE_00055,YD_0002,2021-03-14 14:00:00,2021,3,14,2021-03-14,영동 해안형,1,F_010346,YD_0002|2021|3|14,21,21,5,3,7.0,10,72.0,168.0,240.0,True,full_5
FE_00056,YD_0002,2021-03-27 09:00:00,2021,3,9,2021-03-27,영동 해안형,1,F_010385,YD_0002|2021|3|9,20,20,5,3,6.0,22,72.0,144.0,528.0,True,full_5
FE_00057,YD_0002,2021-04-24 09:00:00,2021,4,9,2021-04-24,영동 해안형,2,F_010565;F_010566,YD_0002|2021|4|9,25,25,5,5,15.0,20,120.0,360.0,480.0,True,full_5
FE_00058,YD_0002,2021-05-08 15:00:00,2021,5,15,2021-05-08,영동 해안형,1,F_010636,YD_0002|2021|5|15,26,26,5,4,5.0,22,96.0,120.0,528.0,True,full_5
FE_00059,YD_0003,2020-01-31 14:00:00,2020,1,14,2020-01-31,영동 해안형,1,F_007636,YD_0003|2020|1|14,28,28,5,7,13.0,27,168.0,312.0,648.0,True,full_5
FE_00060,YD_0003,2020-02-01 19:00:00,2020,2,19,2020-02-01,영동 해안형,1,F_007641,YD_0003|2020|2|19,22,22,5,8,20.0,28,192.0,480.0,672.0,True,full_5
FE_00061,YD_0003,2020-02-07 17:00:00,2020,2,17,2020-02-07,영동 해안형,1,F_007647,YD_0003|2020|2|17,21,21,5,6,13.0,22,144.0,312.0,528.0,True,full_5
FE_00062,YD_0003,2020-03-26 05:00:00,2020,3,5,2020-03-26,영동 해안형,1,F_010819,YD_0003|2020|3|5,26,26,5,4,11.0,18,96.0,264.0,432.0,True,full_5
FE_00063,YD_0003,2020-06-23 20:00:00,2020,6,20,2020-06-23,영동 해안형,1,F_007817,YD_0003|2020|6|20,25,25,5,3,6.0,15,72.0,144.0,360.0,True,full_5
FE_00064,YD_0003,2020-10-14 09:00:00,2020,10,9,2020-10-14,영동 해안형,1,F_007856,YD_0003|2020|10|9,18,18,5,3,7.0,13,72.0,168.0,312.0,True,full_5
FE_00065,YD_0003,2020-10-14 10:00:00,2020,10,10,2020-10-14,영동 해안형,1,F_007869,YD_0003|2020|10|10,18,18,5,6,10.0,14,144.0,240.0,336.0,True,full_5
FE_00066,YD_0003,2020-10-14 11:00:00,2020,10,11,2020-10-14,영동 해안형,1,F_007862,YD_0003|2020|10|11,18,18,5,4,10.0,13,96.0,240.0,312.0,True,full_5
