fire_id,연도,월,일,시간,진화소요시간(HH),위도,경도,발생지역시도명,발생지역시군구명,발생지역읍면동명,발생지역리명,발생지역번지,발생원인명,피해면적(ha),피해금액
F_014956,2021,3,18,12,,36.069323718930455,126.93084287546685,전북특별자치도,익산시,성당면,와초리,154-4,,,
F_014957,2021,3,18,14,,35.97992901727941,127.13705732086308,전북특별자치도,완주군,봉동읍,장구리,산69-1,,,
F_014958,2021,3,19,14,,36.00064700044479,126.8741710002017,전북특별자치도,군산시,서수면,마룡리,722-7,,,
F_014959,2021,3,23,17,,35.97894735714476,127.58279512166271,전북특별자치도,무주군,부남면,굴암리,1014-1,,,
F_014960,2021,3,24,16,,35.585056000068924,126.25505800019049,전북특별자치도,부안군,위도면,대리,산47-5,,,
F_014961,2021,3,24,17,,35.585583999867495,126.25401299955487,전북특별자치도,부안군,위도면,대리,산47-5,,,
F_014962,2021,3,24,17,,35.585583999867495,126.25401299955487,전북특별자치도,부안군,위도면,대리,산47-5,,,
F_014963,2021,3,25,11,,35.43480399986286,126.70642799959192,전북특별자치도,고창군,고창읍,교촌리,56-4,,,
F_014964,2021,3,25,11,,35.43480399986286,126.70642799959192,전북특별자치도,고창군,고창읍,교촌리,56-4,,,
F_014965,2021,3,25,11,,35.434786999904844,126.7064339998774,전북특별자치도,고창군,고창읍,교촌리,56-4,,,
F_014966,2021,3,25,11,,35.434786999904844,126.7064339998774,전북특별자치도,고창군,고창읍,교촌리,56-4,,,
F_014967,2021,3,25,11,,36.045282172574005,126.89746108488117,전북특별자치도,익산시,함라면,신대리,산144,,,
F_014968,2021,3,26,17,,35.56959899967949,127.20142400015344,전북특별자치도,임실군,청웅면,구고리,219-7,,,
F_014969,2021,3,26,16,,35.66076699967874,126.53080800045274,전북특별자치도,부안군,변산면,지서리,331-1,,,
F_014970,2021,3,27,10,,35.6372840000029,127.05872300013063,전북특별자치도,정읍시,산외면,상두리,1040,,,
F_014971,2021,3,29,11,,35.53809199988602,127.15228399963408,전북특별자치도,임실군,강진면,필봉리,산41-14,,,
F_014972,2021,3,30,10,,35.8472800001519,127.64965599961539,전북특별자치도,무주군,안성면,죽천리,2097,,,
F_014973,2021,3,30,18,,35.68289800020844,127.56731299974066,전북특별자치도,장수군,계남면,신전리,1846,,,
F_014974,2021,3,30,18,,35.68289800020844,127.56731299974066,전북특별자치도,장수군,계남면,신전리,1846,,,
F_014975,2021,3,30,18,,35.682857999804874,127.56698800054336,전북특별자치도,장수군,계남면,신전리,1846,,,
F_014976,2021,3,30,18,,35.682857999804874,127.56698800054336,전북특별자치도,장수군,계남면,신전리,1846,,,
F_014977,2021,3,30,18,,35.68289800020844,127.56731299974066,전북특별자치도,장수군,계남면,신전리,1846,,,
F_014978,2021,3,30,18,,35.68366099984038,127.56749399959922,전북특별자치도,장수군,계남면,신전리,678,,,
F_014979,2021,4,1,8,,35.65708599975211,127.22400200045341,전북특별자치도,임실군,신평면,원천리,212,,,
F_014980,2021,4,1,17,,35.83931900008186,127.44423600038817,전북특별자치도,진안군,정천면,월평리,산166,,,
F_014981,2021,4,1,15,,36.06594900043856,127.32014600015316,전북특별자치도,완주군,운주면,금당리,817,,,
F_014982,2021,4,2,8,,35.51024300022784,127.15746199946825,전북특별자치도,임실군,덕치면,회문리,111,,,
F_014983,2021,4,2,8,,35.51024300022784,127.15746199946825,전북특별자치도,임실군,덕치면,회문리,111,,,
F_014984,2021,4,2,8,,35.51024300022784,127.15746199946825,전북특별자치도,임실군,덕치면,회문리,111,,,
F_014985,2021,4,2,14,,35.39717499969857,127.45619400038558,전북특별자치도,남원시,주천면,은송리,산60-1,,,
F_014986,2021,4,3,9,,35.73186600025634,127.12108999982452,전북특별자치도,완주군,구이면,원기리,450,,,
F_014987,2021,4,3,11,,35.96276000030336,126.68045899971081,전북특별자치도,군산시,산북동,,3610,,,
F_014988,2021,4,3,9,,35.48288900003776,127.53838299982914,전북특별자치도,장수군,번암면,유정리,산110,,,
F_014989,2021,4,6,18,,35.531167999939754,127.16053600012448,전북특별자치도,임실군,강진면,갈담리,521-4,,,
F_014990,2021,4,6,9,,35.829913000207384,127.13643699984216,전북특별자치도,전주시덕진구,진북동,,382-1,,,
F_014991,2021,4,7,15,,35.39425900007759,127.4964779996534,전북특별자치도,남원시,주천면,덕치리,110,,,
F_014992,2021,4,7,9,,35.9252720003274,127.65402600009601,전북특별자치도,무주군,적상면,삼가리,산235-5,,,
F_014993,2021,4,7,15,,35.39447000009257,127.49446400032383,전북특별자치도,남원시,주천면,덕치리,599,,,
F_014994,2021,4,8,8,,35.82948999963785,127.28610300016173,전북특별자치도,완주군,소양면,신촌리,57-2,,,
F_014995,2021,4,9,6,,35.95555499969659,127.86619699962432,전북특별자치도,무주군,무풍면,지성리,1056-1,,,
F_014996,2021,4,9,8,,35.82944299978372,127.2858360004899,전북특별자치도,완주군,소양면,신촌리,66,,,
F_014997,2021,4,9,10,,35.57340500010751,126.85461199973344,전북특별자치도,정읍시,수성동,,405-16,,,
F_014998,2021,4,10,11,,35.835480816766506,127.61505410761957,전북특별자치도,장수군,계북면,원촌리,산2-1,,,
F_014999,2021,4,11,12,,36.06414799992809,127.30632800033071,전북특별자치도,완주군,운주면,금당리,산77,,,
F_015000,2021,4,11,12,,36.06522299965641,127.30567500002806,전북특별자치도,완주군,운주면,금당리,산78,,,
F_015001,2021,4,11,12,,36.06522299965641,127.30567500002806,전북특별자치도,완주군,운주면,금당리,산78,,,
F_015002,2021,4,11,12,,36.06522299965641,127.30567500002806,전북특별자치도,완주군,운주면,금당리,산78,,,
F_015003,2021,4,11,12,,36.065199000284885,127.30564599966775,전북특별자치도,완주군,운주면,금당리,산78,,,
F_015004,2021,4,11,15,,35.96411899992679,127.0678750005386,전북특별자치도,익산시,왕궁면,발산리,78-23,,,
F_015005,2021,4,11,13,,35.85033500040783,127.62649299955022,전북특별자치도,무주군,안성면,진도리,산100-1,,,
F_015006,2021,4,11,9,,35.680010999946596,127.38349499993804,전북특별자치도,진안군,백운면,덕현리,736,,,
F_015007,2021,4,11,10,,35.85170605730294,127.62334315143511,전북특별자치도,무주군,안성면,진도리,산100-1,,,
F_015008,2021,4,11,13,,35.85033500040783,127.62649299955022,전북특별자치도,무주군,안성면,진도리,산100-1,,,
F_015009,2021,4,12,7,,35.97562199963765,127.16279499973705,전북특별자치도,완주군,비봉면,봉산리,산37,,,
F_015010,2021,4,15,8,,35.82964099963206,127.28595899975087,전북특별자치도,완주군,소양면,신촌리,58-1,,,
F_015011,2021,4,17,9,,35.53075499956865,127.16109399979622,전북특별자치도,임실군,강진면,갈담리,271-3,,,
F_015012,2021,4,17,8,,35.82952600020817,127.28595200021691,전북특별자치도,완주군,소양면,신촌리,475,,,
F_015013,2021,4,18,18,,35.68438699991957,127.17981300036578,전북특별자치도,임실군,신덕면,수천리,554-1,,,
F_015014,2021,4,18,15,,35.59115199958368,126.79708500051947,전북특별자치도,정읍시,고부면,만수리,37-1,,,
F_015015,2021,4,20,14,,35.45429200039625,127.58231800034189,전북특별자치도,남원시,인월면,인월리,산81-2,,,
F_015016,2021,4,20,15,,35.453743465132035,127.58284613799611,전북특별자치도,남원시,인월면,인월리,산84,,,
F_015017,2021,4,21,10,,35.58375899975619,126.89962999966058,전북특별자치도,정읍시,북면,복흥리,721,,,
F_015018,2021,4,22,8,,35.82941699985742,127.28595800031611,전북특별자치도,완주군,소양면,신촌리,475,,,
F_015019,2021,4,23,10,,35.365930999958145,127.38139399996089,전북특별자치도,남원시,송동면,송상리,산78,,,
F_015020,2021,4,23,10,,35.365930999958145,127.38139399996089,전북특별자치도,남원시,송동면,송상리,산78,,,
F_015021,2021,4,23,10,,35.365930999958145,127.38139399996089,전북특별자치도,남원시,송동면,송상리,산78,,,
F_015022,2021,4,24,19,,35.6143849996299,126.83408599957973,전북특별자치도,정읍시,망제동,,783-1,,,
F_015023,2021,4,24,13,,35.450553999666965,126.67144899956364,전북특별자치도,고창군,고창읍,덕정리,568,,,
F_015024,2021,4,24,21,,35.56739799979286,126.8597579996642,전북특별자치도,정읍시,장명동,,53-6,,,
F_015025,2021,4,25,13,,36.05857587240293,127.27420425591342,전북특별자치도,완주군,경천면,가천리,산141,,,
F_015026,2021,4,25,17,,35.65627239188678,127.10565814043122,전북특별자치도,완주군,구이면,백여리,산425-1,,,
F_015027,2021,4,25,11,,35.96451200018283,127.0689570005334,전북특별자치도,익산시,왕궁면,발산리,78-12,,,
F_015028,2021,4,25,17,,35.656563999923016,127.10674700035304,전북특별자치도,완주군,구이면,백여리,산425-1,,,
F_015029,2021,4,27,13,,35.77730162837487,127.17116117657932,전북특별자치도,전주시완산구,효자동1가,,산152,,,
F_015030,2021,4,28,18,,35.91506299964831,127.1712130005245,전북특별자치도,완주군,용진읍,신지리,1515-10,,,
F_015031,2021,4,29,10,,35.80971399971113,127.6417840001724,전북특별자치도,장수군,계북면,양악리,466-1,,,
F_015032,2021,4,29,14,,36.00301499978383,127.15604599947021,전북특별자치도,완주군,비봉면,백도리,산75,,,
F_015033,2021,4,29,9,,35.79567999995047,127.42409799995303,전북특별자치도,진안군,진안읍,군상리,850-12,,,
F_015034,2021,4,29,14,,35.96820000036901,127.86921599946459,전북특별자치도,무주군,무풍면,금평리,산15-8,,,
F_015035,2021,4,29,14,,35.968052000252264,127.86922800052332,전북특별자치도,무주군,무풍면,금평리,산15-9,,,
F_015036,2021,4,29,14,,35.968784000115186,127.87063099952135,전북특별자치도,무주군,무풍면,금평리,산15-1,,,
F_015037,2021,4,29,14,,35.968784000115186,127.87063099952135,전북특별자치도,무주군,무풍면,금평리,산15-1,,,
F_015038,2021,4,30,13,,35.785080339831936,127.67782300188578,전북특별자치도,장수군,계북면,어전리,산107,,,
F_015039,2021,5,2,9,,35.53321799986134,126.84510099956415,전북특별자치도,정읍시,교암동,,477-3,,,
F_015040,2021,5,3,8,,36.0370940002612,127.26891100017556,전북특별자치도,완주군,경천면,가천리,1176,,,
F_015041,2021,5,3,9,,35.66843000002561,127.14781299954984,전북특별자치도,임실군,신덕면,삼길리,536-5,,,
F_015042,2021,5,4,9,,35.68648300012565,127.38357499969338,전북특별자치도,진안군,백운면,덕현리,443-1,,,
F_015043,2021,5,4,12,,35.47267900017161,127.62227200031765,전북특별자치도,남원시,인월면,상우리,산31,,,
F_015044,2021,5,5,17,,35.89669200001266,127.55331900029488,전북특별자치도,진안군,안천면,노성리,1263,,,
F_015045,2021,5,6,9,,35.68641199956573,127.38367299954115,전북특별자치도,진안군,백운면,덕현리,443-1,,,
F_015046,2021,5,10,14,,35.62121272336327,126.59788939981362,전북특별자치도,부안군,진서면,석포리,산75-2,,,
F_015047,2021,5,10,14,,35.86000599998052,127.60620800014304,전북특별자치도,진안군,동향면,학선리,산37,,,
F_015048,2021,5,11,9,,35.667393999990395,127.59205999948017,전북특별자치도,장수군,계남면,장안리,산27-10,,,
F_015049,2021,5,11,15,,35.38804099979581,127.40491399971225,전북특별자치도,남원시,주천면,송치리,산44,,,
F_015050,2021,5,12,9,,35.727600999659344,127.63193599964728,전북특별자치도,장수군,장계면,명덕리,1488,,,
F_015051,2021,5,12,15,,35.482309000228206,127.59080099993439,전북특별자치도,남원시,아영면,인풍리,488-2,,,
F_015052,2020,1,18,14,,35.79678303960726,126.41907143451564,전북특별자치도,군산시,옥도면,무녀도리,산85-7,,,
F_015053,2020,1,18,15,,36.003569946102424,127.43178845864797,전북특별자치도,진안군,주천면,용덕리,413-2,,,
F_015054,2020,1,19,12,,35.79661143420415,126.41899524743687,전북특별자치도,군산시,옥도면,무녀도리,산85-7,,,
F_015055,2020,1,20,7,,35.675453960364074,126.88898914395693,전북특별자치도,정읍시,정우면,산북리,1323-1,,,
F_015056,2020,1,31,18,,35.73047759362828,126.72207238356734,전북특별자치도,부안군,행안면,역리,214-33,,,
F_015057,2020,2,4,12,,36.09181901443382,126.89479127371847,전북특별자치도,익산시,웅포면,고창리,산57,,,
F_015058,2020,2,5,15,,35.413764880380725,127.36809755287365,전북특별자치도,남원시,왕정동,,286-1,,,
F_015059,2020,2,7,11,,35.43018826353046,126.57987226170087,전북특별자치도,고창군,무장면,원촌리,56-17,,,
F_015060,2020,2,7,13,,36.08468359137001,126.95651024853188,전북특별자치도,익산시,함열읍,와리,532-22,,,
F_015061,2020,2,7,14,,35.69481227474861,127.25856840137716,전북특별자치도,완주군,상관면,용암리,산165-13,,,
F_015062,2020,2,9,15,,36.039302648573056,127.14216764600936,전북특별자치도,완주군,비봉면,대치리,717,,,
F_015063,2020,2,10,7,,36.07305126729621,126.96388784057162,전북특별자치도,익산시,함열읍,와리,산75-15,,,
F_015064,2020,2,11,14,,36.063364000213646,126.96695581920616,전북특별자치도,익산시,함열읍,석매리,350,,,
F_015065,2020,2,11,15,,35.48362622569247,127.3678427972866,전북특별자치도,남원시,사매면,관풍리,825,,,
F_015066,2020,2,11,12,,35.93419189251023,126.97407981122677,전북특별자치도,익산시,금강동,,537-6,,,
F_015067,2020,2,15,12,,35.41399084796004,127.64681459872511,전북특별자치도,남원시,산내면,백일리,80-18,,,
F_015068,2020,2,21,16,,35.81445204615592,126.8933879979356,전북특별자치도,김제시,하동,,352,,,
F_015069,2020,2,23,17,,36.01769454236274,126.9540399699502,전북특별자치도,익산시,황등면,율촌리,산130-2,,,
F_015070,2020,2,24,11,,35.961253755382465,127.83919767120415,전북특별자치도,무주군,무풍면,철목리,428-1,,,
F_015071,2020,2,24,12,,35.817122327712156,126.8260623083495,전북특별자치도,김제시,성덕면,대석리,577-5,,,
F_015072,2020,2,24,15,,35.42779180583369,127.40127402228039,전북특별자치도,남원시,월락동,,372-1,,,
F_015073,2020,3,3,15,,35.42250640439545,127.62489370439899,전북특별자치도,남원시,산내면,대정리,1052,,,
F_015074,2020,3,6,9,,35.95295121062791,126.5950118241123,전북특별자치도,군산시,내초동,,158-5,,,
F_015075,2020,3,6,14,,35.97799039868583,126.94289752755672,전북특별자치도,익산시,신용동,,824-3,,,
F_015076,2020,3,6,15,,35.4378943460164,126.59299303051917,전북특별자치도,고창군,아산면,성산리,401-7,,,
F_015077,2020,3,12,10,,35.58582691648978,127.3518918387393,전북특별자치도,임실군,지사면,안하리,1092,,,
