fire_id,발생일시,기상셀ID,기후권역,기후지형유형,addr_type,기후지형_번지유형,월_key,시간_key,산불위험계절,발생시간대구분,L1_NAME,L2_NAME,생활권프록시,원인프록시_500m,상대강수부족_score,상대강풍_score,단기상대건조_score
F_007666,2020-03-05 11:00:00,YD_0019,영동,영동 해안형,임야번지(산),영동 해안형 / 임야번지(산),3,11,산불위험계절(11~5월),한낮(10~13시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.1682444319896252,0.7445596873030311,-1.0042103320703337
F_007667,2020-03-05 16:00:00,YD_0002,영동,영동 해안형,임야번지(산),영동 해안형 / 임야번지(산),3,16,산불위험계절(11~5월),오후(14~17시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.059366490834786276,-0.20713413102800732,-0.288761739024311
F_007668,2020-03-07 16:00:00,YS_0030,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),3,16,산불위험계절(11~5월),오후(14~17시),미분류,미분류,비인접,기타 인간활동 발화 후보,3.5969829270121996,-1.3854745540464803,-0.13014199408609908
F_007669,2020-03-08 14:00:00,YS_0014,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,14,산불위험계절(11~5월),오후(14~17시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.07669458109723827,-0.970030319040398,0.43873916165197147
F_007670,2020-03-08 16:00:00,YS_0069,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,16,산불위험계절(11~5월),오후(14~17시),농업지역,밭,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.6723144533571065,-0.3647656014466989,0.27582329307150605
F_007671,2020-03-08 12:00:00,YS_0052,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,12,산불위험계절(11~5월),한낮(10~13시),미분류,미분류,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.15456362539963991,-0.7795597373518527,2.8641892519827064
F_007672,2020-03-08 12:00:00,YS_0052,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,12,산불위험계절(11~5월),한낮(10~13시),미분류,미분류,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.4368904205236432,-0.5927760249037377,2.0775638833779895
F_007673,2020-03-08 13:00:00,YS_0065,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),3,13,산불위험계절(11~5월),한낮(10~13시),산림지역,침엽수림,비인접,입산활동 발화 후보,-0.21147799966166228,-0.9607772919294612,-0.6190187153590789
F_007674,2020-03-08 16:00:00,YS_0069,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),3,16,산불위험계절(11~5월),오후(14~17시),산림지역,활엽수림,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.2476508221505935,-0.45268495485295346,0.1860821013745038
F_007675,2020-03-14 09:00:00,YS_0017,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,9,산불위험계절(11~5월),아침(6~9시),미분류,미분류,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.006834284954714678,0.30905121787344647,-0.2517464545999771
F_007676,2020-03-15 14:00:00,YD_0007,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,3,14,산불위험계절(11~5월),오후(14~17시),초지,자연초지,도로/시가화/농업 인접,입산활동 발화 후보,1.8513042319515522,1.4613048122967502,1.420948393656189
F_007677,2020-03-15 14:00:00,YD_0006,영동,영동 해안형,임야번지(산),영동 해안형 / 임야번지(산),3,14,산불위험계절(11~5월),오후(14~17시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.21959531224640022,1.3354425760652053,1.044282205248649
F_007678,2020-03-15 14:00:00,YD_0006,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,3,14,산불위험계절(11~5월),오후(14~17시),수역,내륙수,도로/시가화/농업 인접,입산활동 발화 후보,-0.20030972062393018,0.5596260967707101,0.6698350342739464
F_007679,2020-03-15 14:00:00,YD_0006,영동,영동 해안형,임야번지(산),영동 해안형 / 임야번지(산),3,14,산불위험계절(11~5월),오후(14~17시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.40024823299873824,1.3436238301475663,1.7649047912991056
F_007680,2020-03-15 14:00:00,YD_0006,영동,영동 해안형,임야번지(산),영동 해안형 / 임야번지(산),3,14,산불위험계절(11~5월),오후(14~17시),산림지역,침엽수림,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.2053602867049897,0.6732974675156372,0.7580625977810651
F_007681,2020-03-15 14:00:00,YS_0009,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,14,산불위험계절(11~5월),오후(14~17시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.3210420904165776,0.8150322225705385,-0.055400756823220355
