source_index,fire_id,발생일시,기상셀ID,기후권역,기후지형유형,addr_type,기후지형_번지유형,월_key,시간_key,산불위험계절,발생시간대구분,L1_NAME,L2_NAME,생활권프록시,원인프록시_500m,생활권접점_score,선행건조_score,강풍_score,강수부족_score,산지접근성_score
3130,F_010782,2020-03-16 11:00:00,YS_0010,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,11,산불위험계절(11~5월),한낮(10~13시),산림지역,혼효림,도로/시가화/농업 인접,기타 인간활동 발화 후보,-1.6502553050778417,0.8029412973851267,-0.13738350626717052,0.18612908289515223,-0.1642533535992041
3131,F_010785,2020-03-19 21:00:00,YS_0029,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,21,산불위험계절(11~5월),저녁(18~23시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.5050153575539665,0.9957410005105927,3.9788045654035886,-0.07839673964562063,1.6120950144305162
3132,F_010786,2020-03-19 07:00:00,YS_0064,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,7,산불위험계절(11~5월),아침(6~9시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.771832501968354,0.8003673521129221,0.5386728350575761,-0.08176031053619895,0.3443326196374075
3133,F_010787,2020-03-19 12:00:00,YS_0064,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),3,12,산불위험계절(11~5월),한낮(10~13시),산림지역,활엽수림,도로/시가화/농업 인접,입산활동 발화 후보,-1.4671351015120841,1.2213741985065594,2.0296772334177318,0.025658588244534562,1.3189514017088466
3135,F_010793,2020-03-21 11:00:00,YS_0058,영서,고지·산간형,일반번지,고지·산간형 / 일반번지,3,11,산불위험계절(11~5월),한낮(10~13시),산림지역,침엽수림,도로/시가화/농업 인접,기타 인간활동 발화 후보,-1.207375647945422,-0.7647779599612387,-0.018337656965181734,0.125808433317122,0.572260725918437
3137,F_010796,2020-03-21 15:00:00,YS_0022,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),3,15,산불위험계절(11~5월),오후(14~17시),나지,인공나지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.5353030167388049,1.094380092042883,0.17677918647119284,0.13421353272076664,0.8290533218393438
3138,F_010801,2020-03-23 14:00:00,YS_0064,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),3,14,산불위험계절(11~5월),오후(14~17시),산림지역,활엽수림,비인접,기타 인간활동 발화 후보,-2.395130127029581,1.4447202856708494,0.550858593280089,0.13192404590150184,1.1434650422852781
3139,F_010804,2020-03-24 11:00:00,YD_0001,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,3,11,산불위험계절(11~5월),한낮(10~13시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.7652029394519043,-0.2928891983875503,-0.28468628580039934,0.12471797176273791,-0.5006469852774499
3140,F_010807,2020-03-24 05:00:00,YS_0011,영서,고지·산간형,임야번지(산),고지·산간형 / 임야번지(산),3,5,산불위험계절(11~5월),야간(0~5시),시가화건조지역,도로,도로/시가화/농업 인접,입산활동 발화 후보,0.3271167014937682,-0.33818361453324824,-0.6254023741846139,-0.09734991269392033,2.219047193779266
3141,F_010808,2020-03-24 13:00:00,YS_0014,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,13,산불위험계절(11~5월),한낮(10~13시),산림지역,활엽수림,비인접,기타 인간활동 발화 후보,-2.0244646726193536,1.054657041194665,-0.7191471731231907,0.16060575864545137,0.8975801285357704
