fire_id,발생일시,기상셀ID,기후권역,기후지형유형,addr_type,기후지형_번지유형,월_key,시간_key,산불위험계절,발생시간대구분,L1_NAME,L2_NAME,생활권프록시,원인프록시_500m,상대강수부족_score,상대강풍_score,단기상대건조_score,생활권접점_score,선행건조_score,강풍_score,강수부족_score,산지접근성_score
F_010438,2021-04-02 15:00:00,YS_0020,영서,고지·산간형,임야번지(산),고지·산간형 / 임야번지(산),4,15,산불위험계절(11~5월),오후(14~17시),초지,인공초지,도로/시가화/농업 인접,입산활동 발화 후보,0.09279704152214782,-0.37154908283834703,-0.21276790222696332,-1.1940335165158904,0.095480433566236,0.0965214920716144,0.1567175751279858,1.8858172346902773
F_010439,2021-04-02 15:00:00,YS_0020,영서,고지·산간형,일반번지,고지·산간형 / 일반번지,4,15,산불위험계절(11~5월),오후(14~17시),농업지역,밭,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.04600521913419459,-0.8357554818619526,-0.012937491832638152,-0.8983158286424937,0.0324463226717908,0.0446019532814607,0.1710106272725733,1.6863382123554984
F_010440,2021-04-02 09:00:00,YD_0012,영동,영동 해안형,임야번지(산),영동 해안형 / 임야번지(산),4,9,산불위험계절(11~5월),아침(6~9시),미분류,미분류,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.5092140694732971,-1.487501726176262,-1.0842947227710142,0.4982469770491249,-1.1794750351139918,-0.9495065524946168,0.1381352673759278,0.3252865462904044
F_010441,2021-04-02 13:00:00,YS_0069,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,4,13,산불위험계절(11~5월),한낮(10~13시),초지,인공초지,도로/시가화/농업 인접,입산활동 발화 후보,0.13064985024737533,0.12428534382511511,-0.45290929784082434,0.5462875971315719,0.7028684012189185,0.1874653282702257,0.2184475711278324,-0.5736263388119738
F_010442,2021-04-02 15:00:00,YS_0020,영서,고지·산간형,일반번지,고지·산간형 / 일반번지,4,15,산불위험계절(11~5월),오후(14~17시),농업지역,밭,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.1801842199130464,-0.2211049153793132,-0.20021433647188722,-0.8983158286424937,0.0324463226717908,0.0446019532814607,0.1710106272725733,1.6863382123554984
F_010443,2021-04-02 11:00:00,YS_0004,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,4,11,산불위험계절(11~5월),한낮(10~13시),초지,인공초지,도로/시가화/농업 인접,입산활동 발화 후보,-0.011874831497882196,-0.18366724249896493,-1.1569679146755993,-0.1043683439639307,0.3220548534547021,0.4524627721210705,0.114712244849422,2.0693989685748813
F_010444,2021-04-03 09:00:00,YD_0012,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,4,9,산불위험계절(11~5월),아침(6~9시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.005085774819790774,-1.435911893954891,-2.7265386159939533,0.7469848517884554,-2.079998676286185,-1.0960349416591246,0.2039726397304329,-0.3834154789853279
F_010445,2021-04-03 17:00:00,YS_0058,영서,고지·산간형,임야번지(산),고지·산간형 / 임야번지(산),4,17,산불위험계절(11~5월),오후(14~17시),산림지역,혼효림,도로/시가화/농업 인접,기타 인간활동 발화 후보,-1.4782689431298632,-1.6145783625235457,-0.6068816730434649,-1.674258510688038,-1.857418861665687,-1.5483352883019297,-1.6848118174780804,1.9418099772036264
F_010446,2021-04-03 12:00:00,YS_0057,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,4,12,산불위험계절(11~5월),한낮(10~13시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.26104725517457833,-0.3364805490255074,-0.7489351166743073,0.969061591241846,-1.6634988316725372,-0.3594419880579058,0.0956040189381409,1.0429836716397074
F_010447,2021-04-06 09:00:00,YS_0051,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,4,9,산불위험계절(11~5월),아침(6~9시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-1.9773995486541394,-0.2873402534807307,-0.17859709696075493,-0.5914481007489851,0.7720820884075965,-0.3074781115695139,-0.9474717686036124,1.1652651686779587
F_010448,2021-04-06 14:00:00,YS_0009,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),4,14,산불위험계절(11~5월),오후(14~17시),산림지역,활엽수림,도로/시가화/농업 인접,입산활동 발화 후보,-1.3676733497888311,-0.008478116005758303,0.3951295152384328,-1.1468670567233867,1.0513219588640417,0.0445287482851934,-0.7178562642966317,0.6997287620143386
F_010449,2021-04-06 17:00:00,YD_0018,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,4,17,산불위험계절(11~5월),오후(14~17시),농업지역,밭,도로/시가화/농업 인접,기타 인간활동 발화 후보,-2.0688444944102384,-1.0363159861557805,-0.6623667981048659,-0.4852928147651477,-3.4331068092566293,-0.8608252519384242,-0.8677543713936011,0.776072100916356
F_010450,2021-04-06 08:00:00,YS_0038,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,4,8,산불위험계절(11~5월),아침(6~9시),농업지역,밭,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.5282844759821281,-0.37698980403835786,-0.42678627849500633,0.3062597043511348,0.6710868635013175,-0.4508360295820503,-0.9363546234603214,0.5007164607870992
F_010451,2021-04-06 09:00:00,YS_0051,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,4,9,산불위험계절(11~5월),아침(6~9시),농업지역,밭,도로/시가화/농업 인접,기타 인간활동 발화 후보,-1.5277837287887739,-0.2824757777565365,0.3304505334112897,-0.8503307111608036,0.7656264206930664,-0.3235327352023391,-0.9376924212365586,1.1240875099489074
F_010452,2021-04-06 09:00:00,YS_0051,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,4,9,산불위험계절(11~5월),아침(6~9시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-1.9021522985180899,-0.0508281567507248,-0.1997788142866534,-0.5914481007489851,0.7720820884075965,-0.3074781115695139,-0.9474717686036124,1.1652651686779587
F_010453,2021-04-06 21:00:00,YS_0038,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,4,21,산불위험계절(11~5월),저녁(18~23시),농업지역,밭,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.5999209775035077,-0.36799692935709793,-0.7700010677216271,-0.3323410073810057,0.7360147516771617,-0.44037260405673,-0.2095716749476198,-0.296985801932187
F_010454,2021-04-07 08:00:00,YD_0020,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,4,8,산불위험계절(11~5월),아침(6~9시),시가화건조지역,주거지역,도로/시가화/농업 인접,입산활동 발화 후보,-0.20303347513571313,-1.2547850223417605,0.3379495047644944,0.2471106997185711,0.1983693570097776,0.198106263734195,0.0853265715160559,-0.2103288906580121
F_010456,2021-04-07 18:00:00,YS_0051,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),4,18,산불위험계절(11~5월),저녁(18~23시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.01774374516048431,0.033212949189034724,-0.04574216142515984,-0.4773610731623401,0.7612097983578753,-0.1235175603442708,0.1459672089145292,0.4250496737110932
F_010457,2021-04-07 18:00:00,YS_0051,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,4,18,산불위험계절(11~5월),저녁(18~23시),농업지역,밭,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.16057511562895307,-0.4407065077787949,-0.42192118451270794,-0.8794323682011759,0.7670037773293249,-0.1520219879430935,0.1397554083053289,0.524906046035662
